Rank,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks*,82,19705,.470,14.4,,.610,.242,.162,.109,.089,.390,,.531,.668,.441,.442,.431,.374,,.522,.730,,.059,395,,.229,902,,.219,.430,,14,1
2,Boston Celtics*,82,19905,.466,14.7,,.575,.216,.199,.081,.072,.425,,.547,.739,.450,.417,.397,.356,,.506,.807,,.057,366,,.271,1128,,.229,.390,,10,0
3,Brooklyn Nets*,82,19755,.475,13.8,,.641,.242,.165,.134,.093,.359,,.538,.659,.448,.475,.480,.361,,.537,.752,,.052,335,,.249,975,,.229,.394,,7,0
4,Chicago Bulls*,82,19730,.480,13.8,,.668,.259,.151,.127,.131,.332,,.535,.677,.452,.450,.435,.369,,.476,.852,,.050,321,,.247,1019,,.273,.418,,18,1
5,Charlotte Hornets,82,19880,.468,13.9,,.582,.290,.177,.069,.047,.418,,.542,.690,.385,.402,.419,.365,,.559,.857,,.079,531,,.285,1141,,.287,.372,,20,0
6,Cleveland Cavaliers,82,19730,.469,13.6,,.613,.279,.180,.090,.055,.387,,.541,.697,.406,.426,.391,.355,,.552,.821,,.078,491,,.239,933,,.233,.334,,9,1
7,Dallas Mavericks*,82,19755,.461,15.3,,.561,.206,.176,.108,.071,.439,,.548,.736,.450,.452,.395,.350,,.502,.783,,.059,357,,.208,874,,.262,.398,,15,0
8,Denver Nuggets*,82,19805,.483,14.4,,.584,.236,.204,.073,.071,.416,,.575,.744,.480,.439,.427,.353,,.584,.857,,.059,373,,.266,1128,,.265,.384,,24,0
9,Detroit Pistons,82,19780,.431,14.0,,.609,.247,.209,.081,.073,.391,,.498,.645,.422,.354,.376,.326,,.498,.893,,.039,257,,.304,1187,,.267,.361,,20,0
10,Golden State Warriors*,82,19730,.469,15.5,,.544,.205,.201,.070,.068,.456,,.557,.711,.510,.408,.382,.364,,.595,.804,,.057,371,,.282,1193,,.215,.339,,24,1
11,Houston Rockets,82,19755,.456,14.2,,.552,.299,.181,.038,.034,.448,,.543,.689,.384,.322,.347,.349,,.502,.784,,.089,547,,.299,1142,,.173,.350,,18,0
12,Indiana Pacers,82,19880,.463,13.9,,.605,.262,.175,.092,.068,.395,,.541,.675,.460,.417,.400,.344,,.506,.851,,.044,293,,.300,1294,,.249,.378,,24,0
13,Los Angeles Clippers,82,19780,.458,14.7,,.609,.206,.181,.117,.099,.391,,.512,.694,.447,.436,.348,.374,,.498,.798,,.052,320,,.210,831,,.212,.413,,17,0
14,Los Angeles Lakers,82,19980,.469,13.8,,.612,.273,.162,.086,.083,.388,,.546,.709,.420,.412,.392,.347,,.468,.815,,.061,395,,.307,1310,,.226,.370,,5,0
15,Memphis Grizzlies*,82,19780,.461,12.7,,.654,.260,.233,.110,.045,.346,,.519,.676,.425,.409,.383,.353,,.500,.837,,.056,382,,.269,1157,,.225,.366,,14,0
16,Miami Heat*,82,19855,.467,14.7,,.578,.220,.180,.104,.065,.422,,.531,.697,.437,.440,.385,.379,,.530,.844,,.049,299,,.232,927,,.293,.419,,23,0
17,Milwaukee Bucks*,82,19755,.468,14.8,,.570,.234,.159,.102,.069,.430,,.544,.715,.422,.445,.393,.366,,.456,.781,,.047,309,,.248,1071,,.236,.395,,11,0
18,Minnesota Timberwolves*,82,19780,.457,14.3,,.546,.264,.171,.058,.046,.454,,.540,.675,.417,.424,.359,.358,,.510,.789,,.065,424,,.276,1126,,.220,.395,,18,0
19,New Orleans Pelicans*,82,19755,.457,13.4,,.635,.262,.188,.099,.079,.365,,.528,.666,.429,.459,.395,.332,,.525,.861,,.054,349,,.286,1103,,.237,.372,,17,2
20,New York Knicks,82,19780,.437,14.7,,.572,.253,.158,.086,.074,.428,,.497,.654,.374,.376,.361,.357,,.465,.795,,.069,431,,.238,858,,.219,.392,,7,0
21,Oklahoma City Thunder,82,19805,.430,14.1,,.581,.201,.260,.072,.041,.419,,.507,.644,.444,.424,.367,.323,,.460,.820,,.051,319,,.316,1185,,.205,.347,,9,0
22,Orlando Magic,82,19780,.434,14.4,,.583,.223,.227,.069,.063,.417,,.507,.670,.425,.420,.329,.331,,.499,.880,,.061,384,,.268,1028,,.212,.385,,16,0
23,Philadelphia 76ers*,82,19805,.466,14.0,,.624,.240,.194,.119,.071,.376,,.527,.702,.414,.417,.431,.364,,.505,.835,,.050,315,,.249,982,,.244,.394,,12,0
24,Phoenix Suns*,82,19730,.485,14.1,,.646,.184,.219,.147,.087,.354,,.551,.709,.506,.497,.426,.364,,.545,.828,,.052,362,,.217,941,,.257,.390,,12,0
25,Portland Trail Blazers,82,19730,.442,14.4,,.578,.255,.172,.073,.070,.422,,.513,.629,.424,.425,.404,.346,,.494,.778,,.046,286,,.271,1017,,.207,.368,,11,0
26,Sacramento Kings,82,19805,.460,13.7,,.623,.230,.217,.098,.071,.377,,.530,.700,.434,.425,.422,.344,,.492,.791,,.058,358,,.261,1071,,.215,.386,,13,1
27,San Antonio Spurs,82,19805,.467,13.4,,.655,.236,.226,.124,.069,.345,,.527,.674,.455,.441,.413,.352,,.551,.912,,.036,251,,.291,1254,,.230,.368,,14,1
28,Toronto Raptors*,82,19855,.445,14.1,,.625,.221,.205,.096,.093,.375,,.503,.654,.438,.429,.366,.349,,.429,.795,,.055,352,,.241,959,,.238,.401,,17,2
29,Utah Jazz*,82,19730,.471,15.1,,.532,.203,.235,.066,.029,.468,,.568,.729,.481,.458,.396,.360,,.454,.727,,.070,442,,.246,989,,.242,.383,,14,1
30,Washington Wizards,82,19830,.472,13.7,,.644,.225,.220,.106,.085,.356,,.543,.725,.455,.429,.425,.342,,.527,.853,,.065,406,,.276,1115,,.244,.396,,11,0
