Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
211,Talen Horton-Tucker,22,UTA,SG,65,20,1313,9.3,22.3,.419,2.1,7.4,.286,7.2,14.9,.485,.467,4.6,6.1,.750,1.5,6.1,7.6,8.9,1.5,1.1,4.6,3.9,25.4,104,117,,hortota01
212,Jose Alvarado,24,NOP,PG,61,10,1310,7.4,18.1,.411,3.1,9.1,.336,4.4,9.0,.488,.496,2.4,3.0,.813,1.0,4.2,5.2,6.9,2.5,0.4,3.0,4.6,20.3,107,113,,alvarjo01
213,Aaron Wiggins,24,OKC,SG,70,14,1297,6.8,13.3,.512,1.8,4.5,.393,5.1,8.8,.573,.579,2.2,2.6,.831,2.5,5.2,7.7,2.9,1.4,0.5,2.0,4.0,17.5,119,116,,wiggiaa01
214,Lonnie Walker IV,24,LAL,SG,56,32,1297,8.6,19.3,.448,3.3,9.1,.365,5.3,10.2,.522,.534,3.3,3.9,.858,0.5,3.5,4.0,2.3,1.1,0.6,1.7,2.6,23.9,111,117,,walkelo01
215,Sam Hauser,25,BOS,SF,80,8,1290,6.8,15.0,.455,5.3,12.7,.418,1.5,2.3,.656,.631,0.5,0.6,.706,1.3,6.4,7.7,2.7,1.1,0.8,1.1,3.7,19.3,124,113,,hausesa01
216,Jalen Smith,22,IND,C,68,31,1279,9.0,18.9,.476,2.0,7.1,.283,7.0,11.8,.593,.530,3.9,5.1,.759,4.8,9.8,14.6,2.4,0.8,2.2,2.7,5.7,23.8,113,116,,smithja04
217,LaMelo Ball,21,CHO,PG,36,36,1268,11.1,27.1,.411,5.4,14.4,.376,5.7,12.7,.450,.510,3.8,4.6,.836,1.6,7.1,8.7,11.4,1.7,0.4,4.8,4.4,31.5,108,115,,ballla01
218,David Roddy,21,MEM,PF,70,4,1258,6.8,15.9,.429,2.5,8.0,.307,4.3,7.9,.553,.506,1.5,2.5,.631,1.9,5.4,7.3,2.2,1.1,0.7,2.2,4.0,17.6,103,114,,roddyda01
219,Jaylen Nowell,23,MIN,SG,65,2,1252,10.6,23.7,.448,2.5,8.8,.289,8.1,14.9,.542,.502,2.9,3.8,.778,1.4,5.1,6.5,5.0,1.6,0.2,2.5,3.8,26.7,106,116,,nowelja01
220,Naz Reid,23,MIN,C,68,11,1251,11.8,21.9,.537,2.8,8.2,.346,8.9,13.7,.653,.602,3.3,4.8,.677,2.8,9.9,12.6,2.9,1.6,2.0,3.5,6.7,29.7,112,110,,reidna01
221,Trey Lyles,27,SAC,PF,74,0,1247,7.2,15.7,.458,3.3,9.2,.363,3.8,6.4,.595,.565,3.9,4.8,.815,2.6,8.9,11.5,2.5,1.0,1.2,2.5,3.7,21.6,117,116,,lylestr01
222,Jalen Suggs,21,ORL,SG,53,19,1246,7.2,17.2,.419,2.6,7.8,.327,4.7,9.4,.496,.493,3.3,4.6,.723,2.1,4.1,6.2,6.0,2.6,1.0,3.6,4.7,20.3,104,113,,suggsja01
223,Kevin Love,34,2TM,PF,62,20,1240,6.7,17.1,.389,4.0,11.9,.334,2.7,5.2,.516,.506,3.2,3.7,.879,2.4,13.7,16.1,4.7,0.6,0.5,2.8,3.9,20.5,110,110,,loveke01
224,Cory Joseph,31,DET,PG,62,2,1227,5.9,13.9,.427,2.8,7.1,.389,3.2,6.8,.468,.527,2.3,2.8,.792,0.8,3.4,4.2,8.6,1.3,0.4,2.2,3.5,16.9,119,122,,josepco01
225,Delon Wright,30,WAS,PG,50,14,1221,5.5,11.6,.474,1.6,4.7,.345,3.9,6.9,.564,.545,2.1,2.4,.867,2.3,4.9,7.2,7.7,3.7,0.7,1.8,2.4,14.7,127,112,,wrighde01
226,Nick Richards,25,CHO,C,65,9,1217,7.7,12.2,.629,0.0,0.0,1.000,7.7,12.2,.628,.631,5.4,7.2,.749,5.7,10.5,16.3,1.5,0.4,2.8,2.3,6.0,20.8,130,113,,richani01
227,Seth Curry,32,BRK,SG,61,7,1211,8.4,18.1,.463,3.8,9.4,.405,4.6,8.7,.525,.568,2.1,2.2,.927,0.5,3.5,4.0,4.0,1.5,0.3,2.1,3.9,22.6,113,117,,curryse01
228,Ochai Agbaji,22,UTA,SG,59,22,1209,6.5,15.3,.427,3.2,9.0,.355,3.3,6.2,.532,.532,2.2,2.7,.812,1.7,3.1,4.8,2.6,0.6,0.6,1.6,3.9,18.5,115,121,,agbajoc01
229,Kenrich Williams,28,OKC,PF,53,10,1206,7.1,13.6,.517,2.0,5.3,.373,5.1,8.3,.608,.590,0.7,1.5,.436,3.8,6.5,10.3,4.1,1.8,0.6,1.3,4.4,16.7,126,114,,willike04
230,Matisse Thybulle,25,2TM,SG,71,28,1200,4.5,10.4,.435,2.2,6.1,.365,2.3,4.3,.533,.542,0.8,1.1,.679,1.6,4.1,5.7,2.2,3.4,1.3,1.0,4.6,12.0,114,113,,thybuma01
231,Isaiah Livers,24,DET,PF,52,22,1199,4.9,11.6,.417,3.0,8.2,.365,1.9,3.4,.541,.545,1.3,1.6,.821,1.1,4.6,5.8,1.7,1.1,1.1,1.2,4.2,14.0,113,120,,liveris01
232,Cameron Johnson,26,2TM,PF,42,41,1199,9.1,19.3,.470,4.2,10.4,.404,4.9,8.9,.548,.579,4.1,4.9,.842,1.4,6.2,7.5,3.2,2.0,0.6,1.5,3.4,26.5,122,114,,johnsca02
233,Anthony Lamb,25,GSW,SF,62,4,1195,5.8,12.4,.471,2.9,7.9,.367,3.0,4.5,.652,.588,1.8,2.4,.767,2.2,6.3,8.5,3.8,1.1,0.8,2.1,5.3,16.4,119,115,,lamban01
234,Taurean Prince,28,MIN,PF,54,4,1192,7.1,15.1,.467,2.9,7.7,.381,4.1,7.4,.557,.565,2.6,3.1,.844,0.6,4.7,5.3,3.3,1.1,0.6,2.8,4.9,19.6,108,117,,princta02
235,Andrew Wiggins,27,GSW,SF,37,37,1190,9.9,21.0,.473,3.5,8.9,.396,6.4,12.1,.530,.557,1.7,2.9,.611,2.4,5.0,7.4,3.4,1.8,1.1,1.9,4.2,25.1,113,114,,wiggian01
236,Jordan Nwora,24,2TM,SF,62,14,1188,7.8,17.8,.436,3.4,8.5,.408,4.3,9.4,.462,.533,2.7,3.4,.791,2.0,7.1,9.2,3.5,1.0,0.6,2.6,3.0,21.7,109,116,,nworajo01
237,Gary Harris,28,ORL,SG,48,42,1184,5.6,12.5,.450,3.8,8.9,.431,1.8,3.6,.494,.603,1.1,1.2,.900,0.9,3.1,4.0,2.4,1.8,0.5,1.1,3.8,16.2,122,116,,harriga01
238,Tre Mann,21,OKC,PG,67,5,1183,7.9,20.1,.393,3.3,10.3,.315,4.7,9.8,.475,.474,1.7,2.2,.764,1.1,5.1,6.2,4.8,1.6,0.4,2.5,4.0,20.8,101,116,,manntr01
239,Trendon Watford,22,POR,PF,62,12,1182,7.5,13.3,.560,1.0,2.6,.391,6.4,10.7,.602,.599,3.0,4.1,.720,1.7,8.1,9.8,5.4,1.3,0.5,2.9,4.9,18.9,118,119,,watfotr01
240,Christian Braun,21,DEN,SG,76,6,1181,5.9,12.0,.495,1.4,4.0,.354,4.5,8.0,.565,.554,1.7,2.7,.625,2.0,5.5,7.5,2.4,1.7,0.7,1.4,4.2,14.9,114,115,,braunch01
241,Xavier Tillman Sr.,24,MEM,C,61,29,1180,7.6,12.3,.614,0.2,0.6,.267,7.4,11.7,.632,.621,2.0,3.6,.551,4.9,7.5,12.4,3.9,2.3,1.2,1.8,3.9,17.3,129,109,,tillmxa01
242,Devin Vassell,22,SAS,SG,38,32,1178,10.5,23.9,.439,4.1,10.7,.387,6.3,13.2,.480,.525,3.1,4.0,.780,0.3,5.6,5.9,5.5,1.7,0.7,2.3,2.3,28.2,110,120,,vassede01
243,Collin Sexton,24,UTA,PG,48,15,1145,9.9,19.5,.506,2.0,5.1,.393,7.9,14.4,.546,.558,6.8,8.3,.819,1.5,2.8,4.4,5.8,1.1,0.3,3.5,4.7,28.6,119,120,,sextoco01
244,Precious Achiuwa,23,TOR,C,55,12,1140,8.5,17.5,.485,1.3,4.7,.269,7.2,12.8,.564,.521,3.8,5.4,.702,4.3,9.9,14.2,2.2,1.3,1.3,2.6,4.4,22.0,112,113,,achiupr01
245,Steven Adams,29,MEM,C,42,42,1133,6.6,11.0,.597,0.0,0.0,.000,6.6,11.0,.599,.597,2.0,5.4,.364,9.0,11.4,20.3,4.1,1.5,1.9,3.3,4.1,15.1,118,108,,adamsst01
246,Alec Burks,31,DET,SG,51,8,1122,8.6,19.8,.436,4.3,10.3,.414,4.4,9.5,.459,.544,6.6,8.1,.814,0.8,6.0,6.8,4.9,1.6,0.3,2.5,4.2,28.2,120,119,,burksal01
247,Lamar Stevens,25,CLE,SF,62,25,1120,5.8,12.9,.448,1.3,4.3,.316,4.4,8.6,.513,.500,1.8,2.6,.702,2.1,7.1,9.3,1.5,1.2,0.9,1.2,3.5,14.7,109,111,,stevela01
248,Moritz Wagner,25,ORL,C,57,18,1109,8.6,17.3,.500,2.2,7.1,.313,6.4,10.2,.631,.564,6.7,7.9,.841,3.0,8.3,11.3,3.7,1.6,0.6,3.0,5.9,26.1,122,114,,wagnemo01
249,Jordan Goodwin,24,WAS,PG,62,7,1106,7.0,15.5,.448,1.7,5.2,.322,5.3,10.3,.511,.501,2.3,3.0,.768,2.5,6.5,9.0,7.4,2.6,1.1,2.5,4.2,17.9,113,113,,goodwjo01
250,Victor Oladipo,30,MIA,SG,42,2,1106,7.2,18.2,.397,3.2,9.6,.330,4.1,8.6,.471,.484,2.7,3.6,.747,0.7,5.0,5.8,6.6,2.6,0.5,3.9,4.5,20.2,99,112,,oladivi01
251,Ben Simmons,26,BRK,PG,42,33,1105,5.9,10.4,.566,0.0,0.1,.000,5.9,10.3,.571,.566,1.1,2.5,.439,1.8,9.9,11.6,11.3,2.4,1.1,4.3,6.1,12.9,110,110,,simmobe01
252,Jeff Green,36,DEN,PF,56,4,1091,7.2,14.7,.488,1.3,4.7,.288,5.8,10.0,.580,.534,3.9,5.2,.744,1.7,4.8,6.5,3.1,0.8,0.8,2.1,4.4,19.6,114,117,,greenje02
253,Brandon Clarke,26,MEM,PF,56,8,1090,10.0,15.2,.656,0.0,0.3,.167,9.9,14.9,.665,.658,4.3,6.0,.723,4.0,9.5,13.5,3.1,1.5,1.6,2.4,5.7,24.3,131,109,,clarkbr01
254,Bones Hyland,22,2TM,PG,56,1,1085,10.3,25.8,.399,5.3,14.2,.371,5.0,11.5,.434,.502,3.9,4.6,.843,0.9,5.2,6.1,7.8,1.8,0.7,3.7,4.3,29.7,107,115,,hylanbo01
255,Oshae Brissett,24,IND,PF,65,2,1083,5.4,14.0,.386,2.1,6.8,.310,3.3,7.2,.457,.461,4.6,6.4,.717,2.7,6.8,9.6,1.9,1.4,0.6,1.5,3.5,17.4,110,118,,brissos01
256,Thomas Bryant,25,2TM,C,59,26,1081,10.1,16.3,.623,1.1,2.6,.441,9.0,13.7,.658,.659,4.1,5.6,.738,3.8,11.2,14.9,1.4,0.7,1.3,1.7,4.5,25.5,132,112,,bryanth01
257,Obi Toppin,24,NYK,PF,67,5,1050,8.8,19.7,.446,4.0,11.6,.344,4.8,8.1,.593,.548,1.8,2.2,.809,1.4,7.4,8.8,3.1,1.1,0.6,1.8,3.2,23.4,116,116,,toppiob01
258,Joe Ingles,35,MIL,SF,46,0,1044,4.9,11.3,.435,3.8,9.3,.409,1.1,2.1,.556,.603,0.8,1.0,.857,0.6,5.3,5.9,6.9,1.5,0.3,2.5,3.4,14.5,120,114,,inglejo01
259,Jalen Johnson,21,ATL,SF,70,6,1042,7.2,14.7,.491,1.4,4.8,.288,5.9,10.0,.587,.537,2.2,3.6,.628,2.3,10.6,12.9,3.8,1.7,1.6,1.9,5.2,18.1,114,113,,johnsja05
260,Isaiah Jackson,21,IND,C,63,12,1042,8.2,14.5,.563,0.1,0.6,.143,8.1,13.9,.582,.566,4.3,6.7,.651,5.1,7.7,12.8,2.3,1.4,4.2,2.3,7.0,20.7,120,114,,jacksis01
261,Dyson Daniels,19,NOP,PG,59,11,1042,4.0,9.7,.418,1.3,4.0,.314,2.8,5.7,.492,.483,1.2,1.9,.650,1.7,7.1,8.7,6.2,2.0,0.5,2.7,4.6,10.6,105,112,,daniedy01
262,Wenyen Gabriel,25,LAL,C,68,2,1024,7.2,12.0,.596,0.5,1.7,.278,6.7,10.4,.647,.615,2.4,3.9,.619,5.4,7.9,13.2,1.7,1.2,1.6,2.1,6.7,17.2,123,113,,gabriwe01
263,Austin Rivers,30,MIN,SG,52,10,1016,4.3,9.8,.435,2.0,5.8,.350,2.2,4.0,.558,.538,1.4,1.8,.769,0.2,3.6,3.9,3.5,1.3,0.2,1.1,3.7,11.9,115,117,,riverau01
264,Hamidou Diallo,24,DET,SF,56,0,996,10.5,18.2,.573,0.2,1.0,.238,10.2,17.2,.593,.580,4.2,7.2,.588,2.8,6.7,9.4,2.7,2.6,0.8,3.5,6.0,25.4,109,116,,diallha01
265,Will Barton,32,2TM,SG,56,2,993,6.8,17.9,.379,3.2,8.9,.367,3.5,9.1,.391,.470,1.8,2.3,.787,0.7,6.0,6.7,5.5,1.4,0.6,2.4,2.8,18.6,102,117,,bartowi01
266,Marvin Bagley III,23,DET,C,42,25,990,9.9,18.7,.529,0.9,3.2,.288,9.0,15.5,.579,.554,4.0,5.3,.750,4.6,8.6,13.2,1.8,0.9,1.5,2.3,4.0,24.7,117,118,,baglema01
267,Cam Reddish,23,2TM,SF,40,20,990,6.9,15.4,.446,2.2,7.1,.313,4.7,8.3,.560,.518,3.2,3.7,.853,0.9,3.5,4.4,2.8,1.9,0.7,2.3,3.6,19.2,109,118,,reddica01
268,Jock Landale,27,PHO,C,69,4,979,8.9,16.8,.528,1.0,4.2,.250,7.8,12.6,.621,.559,3.9,5.2,.752,5.9,8.0,14.0,3.4,0.8,1.5,2.9,6.3,22.8,119,113,,landajo01
269,Nassir Little,22,POR,SF,54,4,976,6.7,15.1,.442,2.9,7.9,.367,3.8,7.2,.524,.538,1.6,2.3,.717,1.3,5.7,7.0,2.5,1.0,1.0,1.8,3.3,17.9,108,120,,littlna01
270,Usman Garuba,20,HOU,C,75,1,970,4.3,8.8,.486,1.2,2.9,.407,3.1,5.9,.525,.554,1.4,2.3,.617,6.0,9.3,15.3,3.2,2.2,1.4,2.3,6.7,11.2,119,115,,garubus01
271,JT Thor,20,CHO,PF,69,8,969,4.7,11.7,.399,1.9,6.0,.317,2.8,5.6,.487,.481,1.6,2.3,.702,1.8,5.7,7.5,1.8,1.1,1.1,2.2,3.2,12.9,97,117,,thorjt01
272,Haywood Highsmith,26,MIA,PF,54,11,969,4.8,11.1,.431,1.9,5.6,.339,2.9,5.5,.523,.516,0.7,1.4,.464,2.9,6.7,9.7,2.2,1.9,0.9,2.3,4.2,12.1,101,112,,highsha01
273,Cameron Payne,28,PHO,PG,48,15,968,9.5,22.9,.415,3.4,9.3,.368,6.1,13.5,.448,.490,2.5,3.2,.766,0.6,4.7,5.4,10.8,1.7,0.4,4.1,4.4,24.9,106,115,,payneca01
274,Kendrick Nunn,27,2TM,SG,70,2,964,9.5,22.4,.424,3.9,11.1,.354,5.6,11.3,.493,.512,1.7,2.0,.854,0.7,4.7,5.4,4.5,1.4,0.3,3.3,3.3,24.7,100,117,,nunnke01
275,Karl-Anthony Towns,27,MIN,PF,29,29,957,10.5,21.2,.495,3.0,8.1,.366,7.5,13.1,.576,.565,5.9,6.7,.874,2.4,9.3,11.7,6.9,1.0,0.8,4.3,5.5,29.9,117,114,,townska01
276,Zion Williamson,22,NOP,PF,29,29,956,14.4,23.8,.608,0.4,1.0,.368,14.1,22.8,.618,.615,9.0,12.6,.714,2.9,7.3,10.2,6.7,1.6,0.8,5.0,3.3,38.2,120,112,AS,willizi01
277,Kevin Knox,23,2TM,SF,63,5,952,7.8,16.9,.458,3.3,9.5,.349,4.4,7.4,.596,.556,2.3,3.1,.767,1.7,7.3,9.0,1.7,1.2,0.6,2.6,4.8,21.2,107,119,,knoxke01
278,Cam Thomas,21,BRK,SG,57,4,948,10.4,23.5,.441,2.6,6.8,.383,7.7,16.6,.464,.497,7.8,9.0,.868,0.4,4.5,4.9,4.0,1.0,0.4,3.2,2.8,31.1,108,118,,thomaca02
279,Mike Muscala,31,2TM,C,63,9,945,6.6,14.8,.449,4.1,10.5,.391,2.5,4.3,.588,.587,2.0,2.6,.769,1.9,8.4,10.3,2.5,0.8,1.2,1.2,5.0,19.4,124,113,,muscami01
280,Maxi Kleber,31,DAL,PF,37,5,930,4.1,9.0,.456,2.1,6.0,.348,2.0,3.0,.667,.571,1.4,2.0,.711,1.6,5.6,7.2,2.8,0.6,1.6,1.4,4.5,11.8,117,118,,klebima01
281,Yuta Watanabe,28,BRK,SF,58,1,928,6.0,12.2,.491,3.2,7.1,.444,2.8,5.1,.557,.621,1.8,2.5,.723,1.6,5.8,7.4,2.5,1.3,0.9,1.2,4.2,16.9,125,116,,watanyu01
282,Ish Wainright,28,PHO,SF,60,2,915,4.5,12.1,.370,3.0,9.2,.329,1.4,2.9,.500,.496,1.4,1.7,.839,2.4,5.0,7.4,2.8,2.0,1.2,1.2,6.2,13.4,114,113,,wainris01
283,Daishen Nix,20,HOU,PG,57,7,914,4.3,12.6,.342,2.1,7.4,.286,2.2,5.1,.423,.426,1.3,1.9,.667,1.0,4.2,5.2,7.0,1.6,0.4,4.6,3.1,12.0,88,121,,nixda01
284,Jaylin Williams,20,OKC,C,49,36,914,5.3,12.2,.436,2.4,5.9,.407,2.9,6.3,.463,.534,2.0,2.8,.704,2.3,10.2,12.5,3.9,1.5,0.6,1.9,5.8,15.0,115,112,,willija07
285,Chris Duarte,25,IND,SF,46,12,897,6.5,17.6,.369,2.9,9.2,.316,3.6,8.4,.428,.452,3.2,3.8,.847,1.0,5.1,6.1,3.4,1.3,0.5,2.2,3.4,19.2,101,120,,duartch01
286,Derrick Jones Jr.,25,CHI,PF,64,0,893,6.3,12.5,.500,1.5,4.4,.338,4.8,8.2,.587,.559,3.4,4.6,.738,3.3,5.1,8.3,1.9,1.6,2.0,1.4,4.7,17.4,122,112,,jonesde02
287,Dean Wade,26,CLE,PF,44,13,891,4.1,10.0,.412,2.5,7.1,.354,1.6,2.8,.560,.540,0.8,1.3,.652,1.1,7.3,8.4,2.1,1.6,1.2,1.0,5.0,11.6,113,110,,wadede01
288,Vlatko Čančar,25,DEN,PF,60,9,889,5.9,12.5,.476,2.4,6.3,.374,3.6,6.2,.580,.570,2.1,2.3,.927,1.3,5.7,7.0,4.4,1.2,0.8,2.0,4.6,16.3,119,116,,cancavl01
289,Nickeil Alexander-Walker,24,2TM,SG,59,3,884,7.1,15.9,.444,3.3,8.6,.384,3.8,7.3,.515,.547,2.2,3.2,.667,0.8,4.6,5.4,5.8,1.7,1.1,3.0,4.7,19.6,109,116,,alexani01
290,Bismack Biyombo,30,PHO,C,61,14,874,6.7,11.5,.578,0.0,0.0,,6.7,11.5,.578,.578,1.4,3.9,.357,5.0,9.6,14.5,3.1,1.0,4.9,2.9,6.4,14.7,109,108,,biyombi01
291,Goran Dragić,36,2TM,PG,58,0,870,7.9,18.7,.421,2.9,8.1,.359,5.0,10.6,.468,.499,1.7,2.5,.689,0.9,3.6,4.5,8.4,0.7,0.2,3.5,3.6,20.4,103,117,,dragigo01
292,James Wiseman,21,2TM,C,45,22,867,10.5,18.8,.558,0.2,1.1,.200,10.3,17.7,.580,.563,3.8,5.4,.701,4.0,10.8,14.8,1.7,0.4,1.5,2.8,6.0,25.0,112,116,,wisemja01
293,Théo Maledon,21,CHO,PG,44,7,854,5.7,14.2,.402,1.6,5.3,.295,4.1,8.9,.465,.457,3.5,4.1,.851,0.8,6.1,6.9,8.5,2.1,0.7,3.3,3.4,16.4,105,115,,maledth01
294,Andre Drummond,29,CHI,C,67,0,849,9.5,15.7,.606,0.0,0.2,.000,9.5,15.5,.613,.606,3.8,7.2,.536,7.9,17.6,25.5,1.9,2.6,1.5,4.3,6.7,22.9,113,103,,drumman01
295,Aaron Holiday,26,ATL,PG,63,6,845,5.2,12.4,.418,2.0,5.0,.409,3.2,7.4,.424,.500,1.5,1.8,.844,1.4,2.8,4.2,5.0,2.1,0.7,2.0,4.5,13.9,110,117,,holidaa01
296,Romeo Langford,23,SAS,SG,43,21,844,6.8,14.5,.467,0.9,3.4,.262,5.9,11.1,.530,.498,2.2,3.1,.696,3.2,3.2,6.4,2.8,1.3,0.7,1.7,3.7,16.6,110,122,,langfro01
297,Terence Davis,25,SAC,SG,64,5,841,8.8,20.7,.423,5.1,13.8,.366,3.7,6.9,.537,.545,1.9,2.4,.791,1.1,6.8,7.9,3.8,2.4,0.7,3.0,5.9,24.5,106,114,,daviste02
298,George Hill,36,2TM,SG,46,1,834,4.5,9.5,.470,1.9,5.4,.358,2.5,4.1,.620,.572,2.4,3.1,.764,0.9,4.0,4.9,6.3,1.5,0.3,1.9,3.1,13.3,124,115,,hillge01
299,Mark Williams,21,CHO,C,43,17,828,9.2,14.4,.637,0.0,0.0,,9.2,14.4,.637,.637,3.9,5.6,.691,5.3,12.1,17.5,1.0,1.6,2.6,2.3,5.4,22.2,125,110,,willima07
300,Robert Williams,25,BOS,C,35,20,824,7.5,10.1,.747,0.0,0.1,.000,7.5,10.0,.751,.747,1.5,2.4,.610,6.2,11.1,17.3,3.0,1.3,2.8,2.0,4.0,16.5,143,107,,williro04
301,Wesley Matthews,36,MIL,SF,52,0,820,3.4,9.3,.363,2.3,7.2,.315,1.1,2.1,.528,.484,1.4,1.6,.857,2.0,4.6,6.6,2.0,1.2,0.8,1.0,4.1,10.4,113,114,,matthwe02
302,Moses Moody,20,GSW,SG,63,3,817,6.2,13.1,.476,2.8,7.8,.363,3.4,5.3,.641,.584,2.1,3.1,.698,1.6,4.5,6.1,2.9,1.0,0.4,2.0,3.1,17.5,116,117,,moodymo01
303,Rudy Gay,36,UTA,PF,56,0,816,6.4,16.8,.380,1.9,7.6,.254,4.4,9.2,.484,.437,2.5,2.9,.857,1.9,7.6,9.5,3.3,1.1,1.1,2.2,4.0,17.2,101,117,,gayru01
304,Ty Jerome,25,GSW,SG,45,2,816,6.8,14.0,.488,2.0,5.2,.389,4.8,8.8,.546,.560,2.2,2.4,.927,0.4,4.1,4.5,7.8,1.3,0.3,1.7,3.7,17.9,126,117,,jeromty01
305,Jeremiah Robinson-Earl,22,OKC,PF,43,20,814,6.4,14.5,.444,2.2,6.5,.333,4.3,8.0,.533,.518,2.0,2.5,.833,4.1,6.4,10.5,2.5,1.4,0.6,1.1,4.1,17.0,121,115,,robinje02
306,Jericho Sims,24,NYK,C,52,16,812,5.1,6.5,.776,0.0,0.1,.000,5.1,6.5,.783,.776,0.7,1.0,.750,6.0,8.7,14.7,1.5,0.9,1.7,1.6,5.8,10.8,146,114,,simsje01
307,Caleb Houstan,20,ORL,SF,51,4,812,3.9,10.8,.363,2.7,8.1,.338,1.2,2.7,.435,.489,0.9,1.1,.833,2.0,3.9,5.9,1.8,0.7,0.4,1.1,3.7,11.5,108,118,,houstca01
308,Danuel House Jr.,29,PHI,SF,56,5,807,5.7,12.1,.472,2.3,6.8,.336,3.4,5.3,.644,.566,2.8,3.7,.750,0.6,5.2,5.8,2.7,0.9,0.6,1.6,4.2,16.5,115,116,,houseda01
309,Landry Shamet,25,PHO,SG,40,9,807,6.8,18.2,.377,4.5,12.1,.377,2.3,6.1,.376,.502,2.7,3.1,.882,0.7,3.4,4.1,5.6,1.6,0.3,2.2,3.7,21.0,111,116,,shamela01
310,Dario Šarić,28,2TM,C,57,12,806,7.6,16.6,.458,2.7,6.9,.391,4.9,9.7,.506,.540,3.8,4.6,.829,3.2,9.2,12.4,4.4,1.2,0.4,3.3,5.9,21.7,113,113,,saricda01
311,Luke Kornet,27,BOS,C,69,0,804,6.9,10.3,.665,0.2,0.8,.231,6.7,9.5,.701,.674,1.9,2.4,.821,5.2,6.7,11.9,3.2,0.7,2.8,1.5,4.9,15.8,143,111,,kornelu01
312,Christian Koloko,22,TOR,C,58,19,802,4.4,9.2,.480,0.1,0.7,.083,4.4,8.5,.514,.483,2.3,3.6,.627,5.2,5.4,10.5,1.9,1.3,3.5,1.2,7.9,11.2,119,113,,kolokch01
313,Khris Middleton,31,MIL,SF,33,19,801,10.6,24.2,.436,3.0,9.7,.315,7.5,14.5,.516,.499,5.5,6.1,.902,1.7,6.7,8.3,9.7,1.4,0.3,4.2,4.1,29.6,113,113,,middlkh01
314,JaMychal Green,32,GSW,PF,57,1,797,8.1,14.9,.540,2.5,6.6,.378,5.6,8.4,.667,.623,3.1,4.0,.776,4.3,7.9,12.1,3.0,1.5,1.4,3.1,6.2,21.7,121,113,,greenja01
315,Thaddeus Young,34,TOR,PF,54,9,795,6.7,12.3,.545,0.4,2.1,.176,6.3,10.2,.622,.561,1.1,1.6,.692,4.4,5.9,10.3,4.7,3.4,0.3,2.6,5.5,14.9,117,112,,youngth01
316,Bryce McGowens,20,CHO,SG,46,7,787,4.8,12.2,.396,1.6,4.8,.325,3.3,7.4,.443,.460,3.6,4.8,.750,1.2,4.4,5.6,3.3,0.9,0.4,2.6,2.9,14.9,100,119,,mcgowbr01
317,Josh Christopher,21,HOU,SG,64,2,786,9.4,20.3,.465,1.3,5.5,.236,8.1,14.8,.550,.497,2.8,3.7,.750,1.2,3.1,4.4,4.5,2.0,0.9,3.7,3.6,22.9,102,120,,chrisjo01
318,Robert Covington,32,LAC,PF,48,0,779,6.4,14.4,.445,3.4,8.6,.397,3.0,5.8,.516,.563,1.9,2.5,.750,1.9,8.5,10.4,3.6,2.4,2.1,2.0,5.4,18.1,116,110,,covinro01
