Rank,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,Awards,-9999
347,Jabari Walker,20,POR,PF,56,0,619,0,6,37,55,2,-8.7,-6.0,10,8,29,8,21,4,84,5,13,,walkeja01
348,Darius Bazley,22,2TM,C,43,1,616,0,0,0,16,84,-2.9,-4.3,12,9,24,1,38,3,96,6,26,,bazleda01
349,Juancho Hernangómez,27,TOR,PF,42,10,614,0,0,0,52,49,0.4,-0.9,3,5,25,4,8,5,66,2,5,,hernaju01
350,Jaxson Hayes,22,NOP,C,47,2,610,0,0,0,46,54,-5.2,-8.7,17,2,37,8,39,3,92,8,8,,hayesja02
351,Frank Ntilikina,24,DAL,SG,47,5,607,17,59,24,1,0,5.9,6.7,12,7,38,2,16,6,150,3,7,,ntilila01
352,DeAndre Jordan,34,DEN,C,39,8,586,0,0,0,0,100,-8.8,-14.1,20,7,38,16,24,0,81,6,6,,jordade01
353,Blake Griffin,33,BOS,C,41,16,569,0,0,2,23,76,8.3,2.0,5,2,35,10,13,17,157,4,5,,griffbl01
354,Ousmane Dieng,19,OKC,PF,39,1,569,0,0,8,71,20,3.9,3.2,10,8,26,2,12,0,107,3,8,,diengou01
355,Kris Dunn,28,UTA,PG,22,3,568,97,3,0,0,0,-5.1,-4.7,21,7,33,3,30,1,300,9,16,,dunnkr01
356,Patty Mills,34,BRK,PG,40,2,567,100,0,0,0,0,-7.2,-9.9,17,8,14,2,9,8,130,1,7,,millspa02
357,Ricky Rubio,32,CLE,PG,33,2,566,60,40,0,0,0,3.3,-2.7,22,3,22,0,14,15,281,2,12,,rubiori01
358,Ziaire Williams,21,MEM,SF,37,4,561,1,13,77,9,0,-5.3,-10.4,16,9,35,2,12,17,80,4,5,,willizi02
359,Day'Ron Sharpe,21,BRK,C,48,3,552,0,0,0,0,100,-10.3,-13.5,13,11,47,16,25,0,85,6,17,,sharpda01
360,Kai Jones,22,CHO,C,46,0,550,0,0,0,58,42,-2.7,3.5,5,5,38,11,16,1,38,8,8,,joneska01
361,Lindy Waters III,25,OKC,SG,41,0,531,1,20,54,24,0,10.0,10.1,3,4,31,0,7,1,72,0,3,,waterli01
362,Rodney McGruder,31,DET,SG,32,12,524,0,56,40,4,0,-5.0,4.1,8,2,23,1,9,10,65,1,9,,mcgruro01
363,Chuma Okeke,24,ORL,SF,27,8,518,5,52,40,3,0,-10.4,-8.7,7,3,24,1,9,1,92,1,4,,okekech01
364,James Bouknight,22,CHO,SG,34,0,515,9,89,3,0,0,-7.9,-2.4,8,12,26,3,14,4,101,2,13,,bouknja01
365,Max Christie,19,LAL,SG,41,3,512,0,26,68,6,0,-8.5,-10.4,8,1,26,1,7,1,50,0,6,,chrisma02
366,Charles Bassey,22,SAS,C,35,2,508,0,0,0,11,89,-3.6,7.5,14,7,41,13,17,0,112,5,4,,bassech01
367,Raul Neto,30,CLE,PG,48,1,505,100,0,0,0,0,2.7,-3.4,17,5,24,1,11,14,192,2,5,,netora01
368,Dāvis Bertāns,30,DAL,PF,45,1,492,0,0,4,73,24,-3.4,-4.2,7,1,26,2,5,3,48,1,3,,bertada01
369,Taj Gibson,37,WAS,C,49,2,480,0,0,0,18,82,-1.6,-0.4,7,5,39,8,17,5,82,4,8,,gibsota01
370,Javonte Green,29,CHI,SF,32,1,480,0,10,61,29,0,6.8,5.9,7,6,27,4,24,6,53,5,8,,greenja02
371,Damian Jones,27,2TM,C,41,1,477,0,0,0,7,93,-9.4,-9.5,8,2,32,10,13,2,39,1,11,,jonesda03
372,Isaiah Roby,24,SAS,PF,42,2,474,0,0,8,76,17,-11.7,-1.9,13,10,33,3,21,3,87,6,7,,robyis01
373,Stanley Johnson,26,SAS,SF,30,0,469,0,8,40,52,1,-7.4,3.0,23,5,26,3,19,1,158,7,9,,johnsst04
374,Svi Mykhailiuk,25,2TM,SF,32,8,468,1,23,69,7,0,1.6,7.2,11,10,13,3,15,3,127,4,11,,mykhasv01
375,Evan Fournier,30,NYK,SG,27,7,459,0,55,45,0,0,-4.7,-8.9,11,7,19,3,5,3,88,0,4,,fournev01
376,Willy Hernangómez,28,NOP,C,38,2,458,0,0,0,0,100,2.2,0.1,7,9,38,14,46,3,83,7,18,,hernawi01
377,Kevon Harris,25,ORL,SG,34,0,457,23,67,10,0,0,0.2,3.4,10,6,32,3,19,2,37,8,10,,harrike01
378,Goga Bitadze,23,2TM,C,38,1,457,0,0,0,0,100,2.1,5.5,7,8,31,6,17,1,94,4,11,,bitadgo01
379,Admiral Schofield,25,ORL,PF,37,0,451,0,1,22,65,13,-9.1,-7.0,11,2,38,2,8,8,79,3,6,,schofad01
380,TyTy Washington Jr.,21,HOU,PG,31,2,433,100,0,0,0,0,-5.3,3.3,8,4,20,1,8,4,106,2,4,,washity02
381,Dewayne Dedmon,33,2TM,C,38,1,426,0,0,0,0,100,-10.3,-11.8,4,4,41,11,23,3,62,7,16,,dedmode01
382,Orlando Robinson,22,MIA,C,31,1,425,0,0,0,4,96,4.0,4.7,4,5,24,6,14,3,63,3,8,,robinor01
383,Johnny Davis,20,WAS,SG,28,5,423,0,52,47,1,0,-6.9,-6.2,5,8,24,2,14,2,67,4,9,,davisjo06
384,Keon Johnson,20,POR,SG,40,0,416,66,33,1,0,0,-18.0,-16.1,23,8,20,2,18,4,144,3,9,,johnske07
385,Jake LaRavia,21,MEM,PF,35,0,414,0,0,19,61,20,-6.9,-11.7,7,4,24,1,5,3,51,1,4,,laravja01
386,Dominick Barlow,19,SAS,PF,28,0,408,0,0,11,54,36,-12.0,-2.1,5,4,40,5,12,2,59,5,8,,barlodo01
387,Bruno Fernando,24,2TM,C,39,4,405,0,0,0,0,100,-8.3,-1.0,7,5,36,10,23,1,77,4,14,,fernabr01
388,Cade Cunningham,21,DET,PG,12,12,400,73,26,1,0,0,-7.5,1.1,21,11,16,5,18,2,176,3,23,,cunnica01
389,Ish Smith,34,DEN,PG,43,0,398,100,0,0,0,0,-4.1,-8.3,30,11,19,1,2,4,241,0,6,,smithis01
390,Duane Washington Jr.,22,PHO,SG,31,3,394,72,26,2,0,0,-3.7,-6.2,22,11,13,0,10,3,147,3,16,,washidu02
391,Kessler Edwards,22,2TM,SF,36,4,385,0,18,66,15,0,1.7,-0.4,6,4,23,2,3,4,60,0,5,,edwarke02
392,Saben Lee,23,2TM,PG,25,1,373,99,1,0,0,0,-2.8,-5.2,17,4,14,2,25,8,155,3,13,,leesa01
393,Gary Payton II,30,2TM,SG,22,1,367,27,66,8,0,0,5.1,7.5,5,4,19,5,2,1,77,1,1,,paytoga02
394,Udoka Azubuike,23,UTA,C,36,4,359,0,0,0,2,99,-11.2,-11.1,2,5,29,2,9,0,24,2,3,,azubuud01
395,Gorgui Dieng,33,SAS,C,31,1,358,0,0,0,19,81,-21.3,-12.4,17,4,37,3,5,6,126,1,5,,dienggo01
396,JaVale McGee,35,DAL,C,42,7,355,0,0,0,0,100,-7.4,-8.5,10,6,30,14,20,2,25,5,8,,mcgeeja01
397,Markieff Morris,33,2TM,PF,35,2,355,0,0,7,57,36,2.5,1.8,10,1,23,5,3,1,68,0,0,,morrima02
398,Furkan Korkmaz,25,PHI,SG,37,0,353,0,74,24,1,0,1.0,-4.1,11,4,9,3,17,1,53,4,8,,korkmfu01
399,Richaun Holmes,29,SAC,C,42,1,348,0,0,0,5,95,-11.4,-15.0,2,2,30,7,9,0,23,3,8,,holmeri01
400,A.J. Green,23,MIL,SG,35,1,345,17,55,28,1,0,-4.4,-8.8,2,5,21,0,1,2,57,0,1,,greenaj01
401,Davon Reed,27,2TM,SG,43,1,342,9,65,24,2,0,-12.6,-17.0,9,3,24,2,9,1,56,0,6,,reedda01
402,Jae Crowder,32,MIL,PF,18,3,340,0,1,41,58,0,0.5,-3.4,1,2,16,4,5,2,64,1,2,,crowdja01
403,Derrick Rose,34,NYK,PG,27,0,338,91,9,0,0,0,-2.9,-6.6,12,5,10,2,6,2,106,1,13,,rosede01
404,McKinley Wright IV,24,DAL,PG,27,1,335,99,1,0,0,0,-13.5,-15.0,8,9,17,0,7,4,151,5,7,,wrighmc01
405,Theo Pinson,27,DAL,SG,40,1,323,2,16,41,36,5,-5.1,-5.9,7,2,17,1,3,3,115,1,5,,pinsoth01
406,Julian Champagnie,21,2TM,SF,17,3,320,0,16,60,24,0,-10.1,-0.3,4,5,19,1,9,1,24,5,5,,champju02
407,Matt Ryan,25,2TM,SF,34,0,310,0,15,57,28,1,2.4,2.4,2,1,13,1,4,1,35,0,4,,ryanma01
408,Robin Lopez,34,CLE,C,37,2,299,0,0,0,0,100,-9.3,-16.2,7,4,25,7,8,4,50,4,7,,lopezro01
409,Moses Brown,23,2TM,C,36,1,294,0,0,0,0,100,3.8,3.5,2,3,21,5,29,1,9,8,11,,brownmo01
410,Nathan Knight,25,MIN,C,38,0,291,0,0,0,53,47,-2.8,-2.8,4,9,24,5,30,0,34,5,7,,knighna01
411,Kennedy Chandler,20,MEM,PG,36,0,281,100,0,0,0,0,-7.8,-12.3,7,8,6,0,6,2,128,2,11,,chandke01
412,Dalano Banton,23,TOR,PG,31,2,279,46,49,6,0,0,-6.6,-8.4,7,7,20,1,11,0,85,2,7,,bantoda01
413,Trent Forrest,24,ATL,SG,23,3,277,29,66,6,0,0,-8.4,-9.5,12,2,12,0,2,1,92,1,7,,forretr01
414,Bryn Forbes,29,MIN,SG,25,0,268,56,44,0,0,0,-7.7,-8.1,4,3,11,0,8,1,42,2,5,,forbebr01
415,Terry Taylor,23,2TM,PF,31,2,264,0,8,10,73,9,4.4,7.2,1,2,7,3,6,1,28,1,6,,taylote01
416,Jeff Dowtin Jr.,25,TOR,PG,25,0,259,56,44,0,0,0,2.0,0.9,3,0,9,0,4,3,70,2,3,,dowtije01
417,KZ Okpala,23,SAC,PF,35,3,248,0,1,65,35,0,3.7,1.5,4,1,17,1,4,7,31,0,2,,okpalkz01
418,Brandon Boston Jr.,21,LAC,SF,22,1,248,1,71,26,3,0,-10.6,-12.0,2,6,10,1,16,4,46,6,11,,bostobr01
419,Luka Garza,24,MIN,C,28,0,243,0,0,0,2,98,1.3,1.6,1,4,21,7,22,3,43,5,8,,garzalu01
420,Jamal Cain,23,MIA,PF,18,0,240,0,14,48,38,0,7.3,8.0,2,2,8,2,13,1,32,4,2,,cainja01
421,Kira Lewis Jr.,21,NOP,PG,25,0,235,88,12,0,0,0,11.0,9.4,5,3,10,1,9,0,54,2,9,,lewiski01
422,Frank Kaminsky,29,2TM,C,36,0,235,0,0,0,9,91,-2.1,-0.3,4,1,18,3,6,0,75,0,3,,kaminfr01
423,Johnny Juzang,21,UTA,SG,18,0,232,1,76,23,1,0,-17.4,-17.4,0,2,7,1,2,1,18,0,2,,juzanjo01
424,David Duke Jr.,23,BRK,SG,23,0,228,0,23,64,13,0,-7.0,-8.8,10,2,11,4,10,3,55,3,10,,dukeda01
425,Patrick Baldwin Jr.,20,GSW,SF,31,0,226,0,1,22,69,9,-11.4,-14.0,5,0,9,3,3,1,27,0,3,,baldwpa01
426,John Butler,20,POR,C,19,1,221,0,0,0,0,100,-15.7,-12.7,1,0,18,0,3,0,25,2,2,,butlejo01
427,Cody Zeller,30,MIA,C,15,2,217,0,0,0,0,100,-11.9,-12.4,6,0,19,6,14,0,26,3,3,,zelleco01
428,Dalen Terry,20,CHI,SG,38,0,214,0,22,61,18,0,2.8,1.2,2,2,15,1,10,4,58,1,7,,terryda01
429,Matthew Dellavedova,32,SAC,PG,32,0,213,94,6,0,0,0,-8.2,-11.1,7,1,7,2,2,7,98,1,1,,dellama01
430,Thanasis Antetokounmpo,30,MIL,PF,37,0,206,0,0,7,53,40,-25.9,-31.1,1,2,10,4,9,0,39,0,5,,antetth01
431,Nikola Jović,19,MIA,PF,15,8,204,0,0,0,54,46,-3.4,-3.3,7,0,13,0,8,3,25,3,0,,jovicni01
432,Jared Rhoden,23,DET,SG,14,0,198,0,6,62,32,0,1.3,10.2,1,0,11,2,2,0,9,0,5,,rhodeja01
433,Moussa Diabaté,21,LAC,C,22,1,195,0,0,3,21,76,-9.6,-10.8,2,2,4,3,9,1,8,4,6,,diabamo01
434,Nerlens Noel,28,2TM,C,17,4,195,0,0,0,2,98,-15.6,-9.6,4,5,21,3,4,6,23,0,2,,noelne01
435,Skylar Mays,25,POR,PG,6,6,189,100,0,0,0,0,-16.2,-13.1,5,3,8,1,6,1,116,2,8,,mayssk01
436,Peyton Watson,20,DEN,SG,23,2,186,0,29,66,5,0,-14.5,-18.6,4,3,8,0,10,2,23,2,4,,watsope01
437,Serge Ibaka,33,MIL,C,16,0,185,0,0,0,20,80,-9.5,-13.7,1,4,10,5,5,0,10,1,3,,ibakase01
438,Kenneth Lofton Jr.,20,MEM,PF,24,1,176,0,0,0,45,55,-14.0,-18.4,3,3,12,5,15,0,51,5,4,,loftoke01
439,Mamadi Diakite,26,CLE,C,22,2,176,0,0,0,17,83,0.6,-5.3,3,2,16,3,1,1,19,0,3,,diakima01
440,Ryan Arcidiacono,28,2TM,PG,20,4,172,85,15,0,0,0,-10.3,-8.0,4,3,10,0,0,7,53,0,2,,arcidry01
441,Boban Marjanović,34,HOU,C,31,0,171,0,0,0,0,100,16.7,26.1,3,7,6,1,14,0,20,7,3,,marjabo01
442,Noah Vonleh,27,BOS,C,23,1,171,0,0,0,20,80,-2.2,-9.2,2,2,15,7,1,0,20,0,4,,vonleno01
443,Vít Krejčí,22,ATL,PG,29,0,165,30,68,2,0,0,-0.6,-1.0,2,1,12,1,1,0,42,0,3,,krejcvi01
444,Garrett Temple,36,NOP,SG,25,0,162,0,22,78,1,0,-3.0,-5.4,3,0,9,0,2,0,29,0,2,,templga01
445,Khem Birch,30,TOR,C,20,0,162,0,0,0,0,100,3.6,2.5,1,1,8,6,2,1,18,1,1,,birchkh01
446,James Johnson,35,IND,PF,18,1,162,0,0,7,64,29,-0.2,3.4,3,1,21,4,3,1,39,0,3,,johnsja01
447,Alex Len,29,SAC,C,26,2,161,0,0,0,0,100,5.9,3.8,6,4,13,5,6,0,31,0,1,,lenal01
448,Luka Šamanić,23,UTA,PF,7,4,161,0,0,60,40,0,-0.8,0.4,6,1,9,2,7,0,33,1,3,,samanlu01
449,Dru Smith,25,2TM,SG,15,1,158,58,41,1,0,0,-8.4,-9.2,1,1,14,0,2,1,51,1,3,,smithdr01
450,Wendell Moore Jr.,21,MIN,SG,29,2,153,17,29,44,10,0,-12.7,-13.1,5,1,7,0,2,3,45,0,3,,moorewe01
451,Otto Porter Jr.,29,TOR,SF,8,2,146,10,75,14,0,0,-9.8,-11.4,2,1,3,0,4,3,18,2,0,,porteot01
452,Kemba Walker,32,DAL,PG,9,1,144,100,0,0,0,0,-3.5,-3.9,4,0,11,0,9,3,48,2,5,,walkeke02
453,Danny Green,35,2TM,SG,11,0,138,0,56,39,5,0,-6.4,-11.7,6,1,10,2,1,1,16,1,1,,greenda02
454,Jarrett Culver,23,ATL,SF,10,1,137,0,17,37,47,0,-6.3,-7.0,2,2,9,1,7,3,15,1,4,,culveja01
455,Quenton Jackson,24,WAS,PG,9,0,135,57,43,0,0,0,-8.4,-7.4,1,1,5,0,8,6,37,2,3,,jacksqu01
456,Cody Martin,27,CHO,SF,7,0,134,0,41,59,0,0,-7.6,-1.9,2,0,10,0,5,1,28,3,4,,martico01
457,Nate Williams,23,POR,SG,5,4,127,3,88,9,0,0,-10.8,-7.4,2,0,9,1,2,0,23,1,2,,willije02
458,Xavier Cooks,27,WAS,PF,10,1,126,0,0,9,91,0,4.7,6.1,1,5,7,1,3,1,15,0,3,,cooksxa01
459,Jason Preston,23,LAC,PG,14,0,124,100,0,0,0,0,-5.6,-6.5,5,4,6,0,0,1,61,0,0,,prestja01
460,Jonathan Isaac,25,ORL,PF,11,0,124,0,0,98,2,0,-6.4,-3.7,0,2,2,0,5,0,15,1,2,,isaacjo01
461,Shaquille Harrison,29,POR,SG,5,0,120,71,29,0,0,0,5.0,8.9,5,0,6,0,8,2,76,2,2,,harrish01
462,Meyers Leonard,30,MIL,C,9,2,114,0,0,0,0,100,-11.5,-15.6,2,0,9,4,4,0,2,1,2,,leoname01
463,Olivier Sarr,23,OKC,C,9,1,114,0,0,0,0,100,6.1,5.0,0,2,10,2,4,1,9,1,0,,sarrol01
464,Andre Iguodala,39,GSW,PF,8,0,113,0,0,0,95,5,15.2,13.8,7,1,8,1,1,2,47,1,0,,iguodan01
465,Daniel Theis,30,IND,C,7,1,109,0,0,0,0,100,-8.9,-5.6,0,0,4,1,7,0,23,2,3,,theisda01
466,A.J. Lawson,22,2TM,SG,15,0,108,1,36,48,15,0,-18.2,-18.9,2,0,7,0,5,1,5,2,3,,lawsoaj01
467,Justin Jackson,27,BOS,SF,23,0,107,0,0,77,23,0,-29.3,-36.9,2,0,5,0,1,0,21,0,1,,jacksju01
468,Vince Williams Jr.,22,MEM,SG,15,1,105,7,91,2,0,0,-16.3,-20.5,2,1,7,1,1,1,10,0,1,,willivi01
469,Josh Minott,20,MIN,SF,15,0,96,0,5,75,21,0,10.3,10.8,2,1,8,0,4,0,11,0,6,,minotjo01
470,Jay Huff,24,WAS,C,7,0,95,0,0,0,0,100,-4.5,-3.3,1,2,11,2,5,0,26,1,0,,huffja01
471,Greg Brown III,21,POR,PF,16,0,93,0,0,44,49,7,-2.5,1.2,2,1,6,0,6,0,7,2,4,,browngr01
472,Joshua Primo,20,SAS,SG,4,0,93,8,56,37,0,0,-0.4,9.9,6,3,6,0,5,5,45,1,4,,primojo01
473,Buddy Boeheim,23,DET,SF,10,0,90,0,3,25,72,0,1.6,10.3,0,0,2,0,1,0,11,0,0,,boehebu01
474,Jaden Springer,20,PHI,SG,16,2,89,95,5,0,0,0,-0.4,-5.3,2,1,11,0,3,0,19,0,3,,sprinja01
475,Justin Minaya,23,POR,SF,4,0,89,5,23,72,0,0,-11.8,-8.3,3,0,7,0,1,0,10,1,0,,minayju01
476,Lindell Wigginton,24,MIL,PG,7,1,87,100,0,0,0,0,-20.3,-24.4,9,2,6,1,5,4,33,1,2,,wiggili01
477,Isaiah Mobley,23,CLE,PF,12,0,84,0,0,35,46,19,18.3,12.9,0,0,5,1,2,1,8,0,2,,mobleis01
478,Jordan Hall,21,SAS,SF,9,0,83,11,67,23,0,0,-14.0,-4.0,2,0,3,2,4,0,28,1,1,,halljo02
479,Omer Yurtseven,24,MIA,C,9,0,83,0,0,0,0,100,6.5,6.9,1,2,11,1,3,0,4,2,1,,yurtsom01
480,PJ Dozier,26,SAC,SF,16,0,79,7,34,54,6,0,-14.0,-16.6,5,0,4,0,0,4,23,0,1,,doziepj01
481,Jared Butler,22,OKC,PG,6,1,77,1,99,0,0,0,-1.3,-2.5,4,1,4,0,0,1,20,0,4,,butleja02
482,Keon Ellis,23,SAC,SG,16,0,71,3,65,32,0,0,-16.8,-19.5,1,0,8,0,2,0,14,0,0,,elliske01
483,Udonis Haslem,42,MIA,C,7,1,71,0,0,0,29,71,-11.0,-11.1,0,1,7,0,2,5,0,1,0,,hasleud01
484,Jamaree Bouyea,23,2TM,PG,5,0,71,100,0,0,0,0,-13.6,-13.6,0,2,2,1,1,0,8,0,1,,bouyeja01
485,Trevelin Queen,25,IND,SG,7,0,70,40,60,0,0,0,7.4,11.0,2,4,3,0,1,2,14,0,1,,queentr01
486,Leandro Bolmaro,22,UTA,SF,14,0,68,0,0,91,9,0,-0.1,1.0,5,1,7,0,0,4,17,0,1,,bolmale01
487,Jack White,25,DEN,SF,17,0,66,0,0,50,50,0,-6.1,-9.6,0,0,8,0,2,0,9,1,2,,whiteja03
488,Tyrese Martin,23,ATL,SG,16,0,66,0,6,72,22,0,0.8,0.4,0,2,1,0,1,0,5,0,2,,martity01
489,JD Davison,20,BOS,SG,12,0,66,26,74,0,0,0,-4.6,-11.4,3,1,2,0,1,1,25,0,1,,davisjd01
490,Ryan Rollins,20,GSW,PG,12,0,62,100,0,0,0,0,-37.3,-39.8,7,5,3,1,0,0,14,0,2,,rolliry01
491,Isaiah Todd,21,WAS,PF,6,1,61,0,0,5,16,80,-6.9,-5.7,0,1,2,1,0,0,11,0,1,,toddis01
492,Sam Merrill,26,CLE,SG,5,0,59,5,95,0,0,0,-3.4,-9.2,0,0,1,0,0,0,13,0,0,,merrisa01
493,Carlik Jones,25,CHI,PG,7,0,56,100,0,0,0,0,23.4,22.2,1,1,0,0,3,0,13,0,2,,jonesca03
494,Gabe York,29,IND,SG,3,0,56,75,25,0,0,0,16.6,20.4,0,0,2,0,1,3,13,0,2,,yorkga01
495,Devon Dotson,23,WAS,PG,6,0,53,95,5,0,0,0,-1.8,-0.6,3,0,3,0,0,0,20,0,2,,dotsode01
496,Facundo Campazzo,31,DAL,PG,8,0,52,100,0,0,0,0,10.7,10.6,2,0,1,0,0,1,23,0,1,,campafa01
497,Micah Potter,24,UTA,PF,7,0,52,0,0,0,97,3,-1.7,-0.7,1,1,4,0,0,1,9,0,0,,pottemi01
498,Joe Wieskamp,23,TOR,SF,9,0,50,23,31,46,0,0,5.6,4.5,0,1,1,0,0,0,7,0,1,,wieskjo01
499,Ron Harper Jr.,22,TOR,PF,9,0,48,0,0,56,44,0,16.8,15.9,0,0,3,0,1,0,9,1,1,,harpero02
500,Xavier Sneed,25,CHO,SF,4,0,48,0,19,58,24,0,-23.9,-18.3,0,2,4,1,1,1,11,0,1,,sneedxa01
501,Michael Carter-Williams,31,ORL,PG,4,0,44,95,5,0,0,0,-31.4,-28.9,3,0,4,1,4,0,16,1,2,,cartemi01
502,Cole Swider,23,LAL,SF,7,0,41,0,0,10,80,10,-1.6,-2.2,0,0,2,0,0,0,10,0,0,,swideco01
503,Mac McClung,24,PHI,SG,2,0,41,100,0,0,0,0,20.0,15.4,1,2,1,0,3,1,22,1,1,,mccluma01
504,Jacob Gilyard,24,MEM,PG,1,0,41,100,0,0,0,0,-12.6,-16.3,2,0,2,0,0,0,17,0,0,,gilyaja01
505,Kendall Brown,19,IND,SG,6,0,40,0,54,46,0,0,6.4,9.9,0,0,3,0,1,0,8,0,1,,brownke03
506,Jarrell Brantley,26,UTA,PF,4,0,39,0,13,54,33,0,17.8,19.1,1,1,2,0,1,0,7,0,0,,brantja01
507,Mfiondu Kabengele,25,BOS,PF,4,0,36,0,0,0,83,17,-10.6,-17.4,0,0,0,1,0,0,0,0,0,,kabenmf01
508,RaiQuan Gray,23,BRK,PF,1,0,35,0,0,0,35,65,-19.4,-20.9,2,1,3,0,1,0,16,0,0,,grayra01
509,Justin Champagnie,21,2TM,SF,5,0,34,0,29,57,13,0,-8.2,-13.1,0,0,1,0,0,1,9,0,2,,champju01
510,Tony Bradley,25,CHI,C,12,0,33,0,0,0,0,100,13.3,11.8,0,0,1,1,0,0,2,0,0,,bradlto01
511,Scotty Pippen Jr.,22,LAL,PG,6,0,32,100,0,0,0,0,-6.2,-6.8,2,0,1,0,4,0,5,1,2,,pippesc02
512,Alize Johnson,26,SAS,PF,4,0,30,0,21,36,31,12,23.1,33.5,0,2,1,1,1,1,3,0,0,,johnsal02
513,Jay Scrubb,22,ORL,SG,2,0,30,21,35,45,0,0,-29.6,-27.0,2,0,0,1,1,0,2,0,2,,scrubja01
514,Neemias Queta,23,SAC,C,5,0,29,0,0,0,0,100,-36.0,-38.6,0,1,5,0,1,1,2,0,0,,quetane01
515,Louis King,23,PHI,PF,1,0,29,0,0,40,60,0,5.4,0.7,0,1,2,1,1,0,5,1,0,,kinglo02
516,Vernon Carey Jr.,21,WAS,C,11,0,28,0,0,0,0,100,-19.0,-17.8,1,0,5,0,1,0,7,0,1,,careyve01
517,Trevor Hudgins,23,HOU,PG,5,0,28,100,0,0,0,0,9.3,17.7,1,0,0,0,1,0,7,0,0,,hudgitr01
518,Kobi Simmons,25,CHO,SG,5,0,28,59,41,0,0,0,-36.9,-31.4,0,0,0,0,1,1,11,0,0,,simmoko01
519,Darius Days,23,HOU,SF,4,0,25,0,7,93,0,0,4.1,12.5,0,0,2,0,1,0,3,0,1,,daysda01
520,Sterling Brown,27,LAL,SF,4,0,24,0,0,65,35,0,-3.0,-3.6,0,0,3,0,0,0,4,0,1,,brownst02
521,Chance Comanche,26,POR,C,1,0,21,0,0,0,64,36,-65.1,-61.7,0,0,0,0,0,0,0,0,0,,comanch01
522,Marko Simonovic,23,CHI,C,7,0,20,0,0,0,24,76,36.0,34.6,0,0,3,0,0,0,0,0,0,,simonma01
523,Xavier Moon,28,LAC,SG,4,0,20,17,83,0,0,0,-25.0,-25.7,1,0,2,0,0,0,12,0,0,,moonxa01
524,Lester Quiñones,22,GSW,SG,4,0,18,50,50,0,0,0,17.9,16.2,2,1,0,0,3,0,4,0,0,,quinole01
525,Dereon Seabron,22,NOP,SG,5,0,12,0,0,55,45,0,45.5,43.5,0,0,1,0,0,0,0,0,1,,seabrde01
526,Dylan Windler,26,CLE,SF,3,0,10,0,0,60,40,0,-11.4,-17.2,1,0,0,0,0,0,2,0,0,,windldy01
527,Malcolm Hill,27,CHI,SF,5,0,9,0,0,35,65,0,68.1,66.7,0,0,1,0,0,0,0,0,0,,hillma01
528,Braxton Key,25,DET,SF,3,0,9,0,0,0,64,36,-15.0,-6.5,0,0,0,0,0,0,0,0,0,,keybr01
529,Tyler Dorsey,26,DAL,SF,3,0,8,0,0,0,100,0,7.1,6.9,0,0,0,0,0,0,0,0,0,,dorsety01
530,Trevor Keels,19,NYK,SG,3,0,8,0,0,100,0,0,-92.1,-95.5,0,0,0,0,0,0,0,0,0,,keelstr01
531,Chima Moneke,27,SAC,SF,2,0,8,0,0,100,0,0,-48.2,-50.6,1,1,2,0,1,0,2,0,0,,monekch01
532,Deonte Burton,29,SAC,PF,2,0,6,0,0,12,88,0,35.7,33.5,0,0,0,0,0,1,0,0,1,,burtode02
533,Jordan Schakel,24,WAS,SF,2,0,6,0,16,84,0,0,33.3,34.7,0,0,0,0,0,0,3,0,0,,schakjo01
534,Frank Jackson,24,UTA,PG,1,0,5,100,0,0,0,0,-37.5,-36.4,0,0,0,0,0,0,2,0,0,,jacksfr01
535,Alondes Williams,23,BRK,SG,1,0,5,0,100,0,0,0,-45.5,-46.8,1,0,0,0,0,0,0,0,0,,willial06
536,Donovan Williams,21,ATL,SG,2,0,4,0,0,100,0,0,83.3,83.0,0,0,0,0,0,0,0,0,0,,willido02
537,Chris Silva,26,DAL,PF,1,0,3,0,0,0,100,0,12.5,12.3,0,0,1,1,0,0,0,0,0,,silvach01
538,Stanley Umude,23,DET,SG,1,0,2,0,0,100,0,0,75.0,83.5,0,0,0,0,1,0,0,0,0,,umudest01
539,Michael Foster Jr.,20,PHI,PF,1,0,1,0,0,0,0,100,-200.0,-204.8,0,0,0,0,0,0,0,0,0,,fostemi02
