Team,G,MP,FG%,%of OFGA from 2P,%of OFGA from 0-3,%of OFGA from 3-10,%of OFGA from 10-16,%of OFGA from 16-3P,%of OFGA from 3P,OFG% from 2P,OFG% from  0-3,OFG% from  3-10,OFG% from 10-16,OFG% from 16-3P,OFG% from 3P,%of O2PA assisted,%of O3PA assisted,%OFGA that were dunks,# od made OPP. dunks,%OFGA that were layups,# of made layups,%O3PA from the corner,O3P% from the corner
Atlanta Hawks,72,17405,0.463,0.617,0.278,0.165,0.099,0.075,0.383,0.534,0.657,0.431,0.444,0.423,0.349,0.505,0.801,0.055,321,0.282,1003,0.226,0.386
Boston Celtics,72,17380,0.464,0.601,0.215,0.213,0.099,0.073,0.399,0.524,0.683,0.432,0.448,0.431,0.374,0.497,0.825,0.05,280,0.268,903,0.209,0.401
Brooklyn Nets,72,17405,0.459,0.603,0.246,0.184,0.1,0.073,0.397,0.521,0.662,0.426,0.414,0.432,0.365,0.48,0.775,0.05,305,0.256,915,0.225,0.354
Chicago Bulls,72,17380,0.473,0.631,0.279,0.176,0.095,0.08,0.369,0.541,0.665,0.431,0.44,0.469,0.356,0.488,0.828,0.052,297,0.281,995,0.197,0.418
Charlotte Hornets,72,17355,0.468,0.551,0.287,0.148,0.066,0.05,0.449,0.552,0.681,0.429,0.415,0.356,0.366,0.539,0.874,0.055,319,0.29,1033,0.277,0.395
Cleveland Cavaliers,72,17430,0.484,0.626,0.309,0.17,0.085,0.063,0.374,0.545,0.644,0.458,0.46,0.405,0.383,0.509,0.832,0.063,335,0.285,995,0.25,0.413
Dallas Mavericks,72,17305,0.46,0.595,0.244,0.177,0.099,0.075,0.405,0.525,0.681,0.417,0.429,0.397,0.365,0.459,0.791,0.046,262,0.247,872,0.196,0.361
Denver Nuggets,72,17480,0.469,0.582,0.221,0.2,0.094,0.067,0.418,0.545,0.748,0.429,0.424,0.387,0.363,0.551,0.846,0.063,348,0.257,913,0.257,0.413
Detroit Pistons,72,17430,0.476,0.639,0.269,0.214,0.089,0.068,0.361,0.541,0.667,0.467,0.442,0.401,0.362,0.516,0.818,0.059,315,0.296,1038,0.235,0.354
Golden State Warriors,72,17305,0.452,0.613,0.212,0.227,0.103,0.071,0.387,0.511,0.667,0.445,0.41,0.401,0.359,0.492,0.813,0.048,277,0.279,952,0.208,0.421
Houston Rockets,72,17305,0.48,0.605,0.269,0.171,0.097,0.068,0.395,0.544,0.679,0.444,0.46,0.383,0.382,0.503,0.823,0.055,313,0.279,1023,0.238,0.414
Indiana Pacers,72,17455,0.468,0.656,0.318,0.176,0.092,0.07,0.344,0.521,0.632,0.427,0.425,0.381,0.366,0.52,0.855,0.066,377,0.304,1063,0.245,0.366
Los Angeles Clippers,72,17280,0.464,0.624,0.238,0.202,0.111,0.073,0.376,0.529,0.701,0.398,0.448,0.449,0.356,0.491,0.771,0.05,286,0.253,889,0.196,0.38
Los Angeles Lakers,72,17455,0.46,0.627,0.274,0.182,0.101,0.07,0.373,0.524,0.672,0.415,0.428,0.368,0.352,0.539,0.825,0.057,313,0.275,969,0.203,0.356
Memphis Grizzlies,72,17405,0.462,0.605,0.264,0.172,0.103,0.066,0.395,0.525,0.648,0.438,0.443,0.387,0.367,0.525,0.823,0.047,261,0.269,938,0.196,0.435
Miami Heat,72,17380,0.459,0.541,0.23,0.169,0.082,0.061,0.459,0.538,0.689,0.421,0.425,0.444,0.365,0.533,0.88,0.048,266,0.245,831,0.264,0.388
Milwaukee Bucks,72,17330,0.456,0.585,0.213,0.167,0.119,0.085,0.415,0.507,0.658,0.411,0.448,0.404,0.384,0.473,0.81,0.042,246,0.232,805,0.198,0.448
Minnesota Timberwolves,72,17405,0.482,0.625,0.282,0.174,0.096,0.073,0.375,0.536,0.682,0.386,0.464,0.426,0.392,0.528,0.841,0.06,356,0.292,1015,0.227,0.419
New Orleans Pelicans,72,17430,0.469,0.573,0.26,0.159,0.089,0.066,0.427,0.535,0.689,0.417,0.423,0.366,0.38,0.505,0.833,0.049,286,0.26,966,0.212,0.388
New York Knicks,72,17430,0.44,0.587,0.28,0.163,0.077,0.067,0.413,0.512,0.643,0.394,0.397,0.385,0.337,0.518,0.844,0.062,321,0.276,900,0.235,0.35
Oklahoma City Thunder,72,17355,0.473,0.593,0.261,0.165,0.095,0.072,0.407,0.548,0.705,0.408,0.452,0.424,0.364,0.485,0.834,0.058,338,0.269,1012,0.227,0.402
Orlando Magic,72,17330,0.471,0.59,0.232,0.188,0.098,0.072,0.41,0.539,0.684,0.448,0.431,0.455,0.373,0.508,0.842,0.055,306,0.275,1010,0.206,0.408
Philadelphia 76ers,72,17430,0.453,0.62,0.267,0.174,0.094,0.085,0.38,0.51,0.672,0.41,0.372,0.356,0.36,0.501,0.821,0.054,293,0.276,950,0.197,0.375
Phoenix Suns,72,17480,0.467,0.622,0.25,0.185,0.103,0.085,0.378,0.535,0.697,0.434,0.413,0.424,0.354,0.472,0.803,0.046,270,0.274,984,0.2,0.414
Portland Trail Blazers,72,17305,0.473,0.608,0.271,0.165,0.09,0.081,0.392,0.538,0.684,0.4,0.452,0.43,0.372,0.497,0.82,0.05,283,0.271,1002,0.245,0.426
Sacramento Kings,72,17305,0.488,0.635,0.27,0.198,0.095,0.072,0.365,0.549,0.71,0.43,0.476,0.37,0.38,0.491,0.807,0.061,349,0.287,1074,0.201,0.385
San Antonio Spurs,72,17480,0.472,0.637,0.28,0.198,0.093,0.065,0.363,0.527,0.64,0.438,0.457,0.412,0.377,0.488,0.818,0.056,320,0.302,1020,0.222,0.4
Toronto Raptors,72,17305,0.461,0.567,0.216,0.212,0.082,0.058,0.433,0.523,0.692,0.427,0.402,0.413,0.379,0.544,0.888,0.051,263,0.259,879,0.274,0.412
Utah Jazz,72,17355,0.447,0.652,0.229,0.219,0.126,0.078,0.348,0.504,0.678,0.399,0.439,0.394,0.341,0.457,0.787,0.045,262,0.255,914,0.164,0.356
Washington Wizards,72,17405,0.471,0.632,0.164,0.264,0.111,0.093,0.368,0.529,0.687,0.493,0.452,0.448,0.369,0.464,0.823,0.054,318,0.264,929,0.218,0.375
