Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% on 2P,FG% on  0-3,FG% on  3-10,FG% on  10-16,FG% on  16-3P,FG% on  3P,% of 2PFG assisted,% of 3PFG assited,%FGA that are dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Isaiah Joe,23,OKC,SG,73,10,1395,0.441,0.224,0.067,0.037,0.045,0.075,0.776,0.553,0.706,0.421,0.565,0.474,0.409,0.714,0.95,0.016,8,0.132,0.519,joeis01
Jonathan Kuminga,20,GSW,PF,67,16,1394,0.525,0.706,0.332,0.28,0.058,0.036,0.294,0.59,0.673,0.54,0.483,0.389,0.37,0.643,0.944,0.189,90,0.425,0.419,kuminjo01
Jusuf Nurkić,28,POR,C,52,52,1391,0.519,0.764,0.451,0.279,0.018,0.016,0.236,0.567,0.645,0.447,0.556,0.5,0.361,0.594,1,0.044,21,0.126,0.333,nurkiju01
Dennis Smith Jr.,25,CHA,PG,54,15,1390,0.412,0.754,0.33,0.232,0.093,0.1,0.246,0.475,0.664,0.343,0.357,0.267,0.216,0.42,0.958,0.053,22,0.225,0.28,smithde03
Larry Nance Jr.,30,NOP,C,65,1,1381,0.61,0.862,0.482,0.292,0.059,0.03,0.138,0.654,0.769,0.551,0.389,0.333,0.333,0.762,1,0.223,66,0.571,0.417,nancela02
Josh Okogie,24,PHX,SG,72,26,1350,0.391,0.524,0.28,0.155,0.051,0.039,0.476,0.442,0.56,0.297,0.286,0.375,0.335,0.448,0.939,0.087,25,0.462,0.319,okogijo01
Devonte' Graham,27,TOT,PG,73,8,1338,0.374,0.216,0.058,0.072,0.035,0.051,0.784,0.452,0.6,0.355,0.533,0.364,0.352,0.31,0.798,0,0,0.104,0.429,grahade01
Terrence Ross,31,TOT,SG,63,9,1330,0.43,0.445,0.037,0.08,0.178,0.151,0.555,0.507,0.706,0.514,0.398,0.586,0.368,0.629,0.937,0.019,6,0.264,0.441,rosste01
Luke Kennard,26,TOT,SG,59,14,1315,0.492,0.296,0.058,0.084,0.089,0.065,0.704,0.487,0.545,0.5,0.441,0.48,0.494,0.6,0.94,0,0,0.201,0.481,kennalu01
Doug McDermott,31,SAS,SF,64,0,1314,0.457,0.43,0.176,0.163,0.054,0.038,0.57,0.516,0.707,0.412,0.393,0.25,0.413,0.845,0.984,0.027,14,0.198,0.407,mcderdo01
Talen Horton-Tucker,22,UTA,SG,65,20,1313,0.419,0.669,0.232,0.321,0.083,0.033,0.331,0.485,0.627,0.437,0.314,0.4,0.286,0.206,0.776,0.038,19,0.148,0.367,hortota01
Jose Alvarado,24,NOP,PG,61,10,1310,0.411,0.495,0.186,0.243,0.051,0.014,0.505,0.488,0.67,0.395,0.36,0.143,0.336,0.381,0.94,0,0,0.287,0.38,alvarjo01
Aaron Wiggins,24,OKC,SG,70,14,1297,0.512,0.664,0.383,0.264,0.014,0.003,0.336,0.573,0.705,0.396,0.4,0,0.393,0.696,0.958,0.055,18,0.459,0.286,wiggiaa01
Lonnie Walker IV,24,LAL,SG,56,32,1297,0.448,0.528,0.195,0.188,0.055,0.089,0.472,0.522,0.699,0.404,0.345,0.489,0.365,0.572,0.923,0.055,24,0.273,0.412,walkelo01
Sam Hauser,25,BOS,SF,80,8,1290,0.455,0.154,0.078,0.048,0.013,0.015,0.846,0.656,0.839,0.526,0.6,0.167,0.418,0.775,0.971,0.013,3,0.307,0.437,hausesa01
Jalen Smith,22,IND,C,68,31,1279,0.476,0.624,0.346,0.185,0.037,0.049,0.376,0.593,0.761,0.404,0.158,0.4,0.283,0.718,0.963,0.085,42,0.298,0.281,smithja04
LaMelo Ball,21,CHA,PG,36,36,1268,0.411,0.469,0.169,0.162,0.085,0.053,0.531,0.45,0.598,0.316,0.443,0.395,0.376,0.25,0.653,0.004,3,0.136,0.385,ballla01
David Roddy,21,MEM,PF,70,4,1258,0.429,0.495,0.271,0.183,0.026,0.014,0.505,0.553,0.711,0.351,0.545,0.167,0.307,0.609,0.969,0.057,22,0.415,0.341,roddyda01
Jaylen Nowell,23,MIN,SG,65,2,1252,0.448,0.629,0.251,0.213,0.134,0.03,0.371,0.542,0.662,0.429,0.536,0.368,0.289,0.469,0.716,0.024,11,0.155,0.222,nowelja01
Naz Reid,23,MIN,C,68,11,1251,0.537,0.624,0.341,0.256,0.023,0.003,0.376,0.653,0.812,0.466,0.385,0.5,0.346,0.655,1,0.066,33,0.175,0.263,reidna01
Trey Lyles,27,SAC,PF,74,0,1247,0.458,0.412,0.27,0.12,0.007,0.002,0.588,0.595,0.682,0.388,0.333,0,0.363,0.65,0.977,0.083,28,0.346,0.446,lylestr01
Jalen Suggs,21,ORL,SG,53,19,1246,0.419,0.545,0.23,0.162,0.077,0.077,0.455,0.496,0.588,0.472,0.324,0.441,0.327,0.317,0.712,0.016,5,0.134,0.407,suggsja01
Kevin Love,34,TOT,PF,62,20,1240,0.389,0.302,0.106,0.104,0.052,0.04,0.698,0.516,0.622,0.5,0.364,0.471,0.334,0.576,0.939,0.012,2,0.149,0.341,loveke01
Cory Joseph,31,DET,PG,62,2,1227,0.427,0.487,0.088,0.214,0.097,0.074,0.513,0.468,0.645,0.427,0.441,0.346,0.389,0.213,0.743,0,0,0.172,0.387,josepco01
Delon Wright,30,WAS,PG,50,14,1221,0.474,0.591,0.196,0.299,0.062,0.034,0.409,0.564,0.842,0.391,0.444,0.7,0.345,0.268,0.854,0.014,4,0.244,0.345,wrighde01
Nick Richards,25,CHA,C,65,9,1217,0.629,0.997,0.741,0.227,0.019,0.01,0.003,0.628,0.741,0.282,0.5,0.333,1,0.638,1,0.3,82,0,0,richani01
Seth Curry,32,BKN,SG,61,7,1211,0.463,0.483,0.058,0.067,0.114,0.245,0.517,0.525,0.615,0.467,0.588,0.491,0.405,0.526,0.809,0,0,0.254,0.424,curryse01
Ochai Agbaji,22,UTA,SG,59,22,1209,0.427,0.409,0.15,0.21,0.026,0.023,0.591,0.532,0.621,0.494,0.4,0.444,0.355,0.762,0.988,0.054,17,0.412,0.457,agbajoc01
Kenrich Williams,28,OKC,PF,53,10,1206,0.517,0.613,0.318,0.142,0.09,0.064,0.387,0.608,0.718,0.51,0.452,0.5,0.373,0.659,1,0.066,21,0.343,0.413,willike04
Matisse Thybulle,25,TOT,SG,71,28,1200,0.435,0.415,0.265,0.138,0.012,0,0.585,0.533,0.642,0.343,0.333,0,0.365,0.768,0.963,0.091,21,0.486,0.375,thybuma01
Isaiah Livers,24,DET,PF,52,22,1199,0.417,0.295,0.066,0.073,0.066,0.076,0.705,0.541,0.842,0.381,0.368,0.5,0.365,0.609,0.892,0.028,8,0.305,0.435,liveris01
Cameron Johnson,26,TOT,PF,42,41,1199,0.47,0.462,0.198,0.097,0.089,0.078,0.538,0.548,0.691,0.435,0.429,0.459,0.404,0.6,0.971,0.049,20,0.361,0.424,johnsca02
Anthony Lamb,25,GSW,SF,62,4,1195,0.471,0.366,0.15,0.188,0.006,0.022,0.634,0.652,0.809,0.576,0,0.429,0.367,0.68,0.986,0.045,13,0.342,0.353,lamban01
Taurean Prince,28,MIN,PF,54,4,1192,0.467,0.488,0.216,0.172,0.047,0.053,0.512,0.557,0.671,0.462,0.667,0.3,0.381,0.748,0.946,0.013,4,0.418,0.432,princta02
Andrew Wiggins,27,GSW,SF,37,37,1190,0.473,0.575,0.157,0.244,0.07,0.104,0.425,0.53,0.711,0.504,0.378,0.418,0.396,0.621,0.955,0.055,25,0.2,0.356,wiggian01
Jordan Nwora,24,TOT,SF,62,14,1188,0.436,0.526,0.227,0.142,0.074,0.067,0.474,0.462,0.574,0.413,0.364,0.233,0.408,0.546,0.907,0.04,15,0.28,0.39,nworajo01
Gary Harris,28,ORL,SG,48,42,1184,0.45,0.29,0.143,0.091,0.016,0.039,0.71,0.494,0.614,0.429,0,0.417,0.431,0.523,0.915,0.01,2,0.417,0.462,harriga01
Tre Mann,21,OKC,PG,67,5,1183,0.393,0.487,0.126,0.204,0.108,0.05,0.513,0.475,0.667,0.373,0.407,0.56,0.315,0.267,0.605,0.012,4,0.121,0.452,manntr01
Trendon Watford,22,POR,PF,62,12,1182,0.56,0.802,0.344,0.347,0.08,0.012,0.198,0.602,0.676,0.545,0.462,0.5,0.391,0.609,1,0.019,5,0.125,0.25,watfotr01
Christian Braun,21,DEN,SG,76,6,1181,0.495,0.668,0.36,0.239,0.028,0.042,0.332,0.565,0.721,0.42,0.375,0.167,0.354,0.67,0.941,0.114,30,0.417,0.4,braunch01
Xavier Tillman Sr.,24,MEM,C,61,29,1180,0.614,0.951,0.516,0.31,0.111,0.013,0.049,0.632,0.753,0.516,0.441,0.25,0.267,0.712,1,0.095,24,0.533,0.125,tillmxa01
Devin Vassell,22,SAS,SG,38,32,1178,0.439,0.553,0.141,0.081,0.176,0.155,0.447,0.48,0.643,0.333,0.41,0.489,0.387,0.456,0.883,0.035,17,0.165,0.477,vassede01
Collin Sexton,24,UTA,PG,48,15,1145,0.506,0.739,0.256,0.355,0.092,0.036,0.261,0.546,0.608,0.506,0.581,0.412,0.393,0.328,0.729,0.021,7,0.205,0.44,sextoco01
Precious Achiuwa,23,TOR,C,55,12,1140,0.485,0.733,0.381,0.262,0.069,0.012,0.267,0.564,0.734,0.406,0.286,0.2,0.269,0.623,0.966,0.141,49,0.444,0.25,achiupr01
Steven Adams,29,MEM,C,42,42,1133,0.597,0.996,0.696,0.281,0.019,0,0.004,0.599,0.645,0.5,0.4,0,0,0.503,0,0.163,41,1,0,adamsst01
Alec Burks,31,DET,SG,51,8,1122,0.436,0.479,0.087,0.144,0.122,0.12,0.521,0.459,0.65,0.409,0.464,0.4,0.414,0.307,0.657,0.002,1,0.213,0.49,burksal01
Lamar Stevens,25,CLE,SF,62,25,1120,0.448,0.67,0.33,0.16,0.139,0.031,0.33,0.513,0.653,0.326,0.45,0.222,0.316,0.778,0.967,0.104,24,0.621,0.254,stevela01
Moritz Wagner,25,ORL,C,57,18,1109,0.5,0.588,0.379,0.189,0.008,0.013,0.412,0.631,0.733,0.453,0.333,0.4,0.313,0.782,0.98,0.134,42,0.178,0.31,wagnemo01
Jordan Goodwin,24,WAS,PG,62,7,1106,0.448,0.666,0.187,0.258,0.127,0.093,0.334,0.511,0.712,0.44,0.444,0.394,0.322,0.242,0.868,0.025,5,0.212,0.52,goodwjo01
Victor Oladipo,30,MIA,SG,42,2,1106,0.397,0.474,0.144,0.156,0.107,0.055,0.526,0.471,0.534,0.492,0.326,0.545,0.33,0.278,0.586,0.01,3,0.179,0.158,oladivi01
Ben Simmons,26,BKN,PG,42,33,1105,0.566,0.991,0.43,0.464,0.094,0.004,0.009,0.571,0.713,0.468,0.455,0,0,0.617,0,0.157,32,0,0,simmobe01
Jeff Green,36,DEN,PF,56,4,1091,0.488,0.683,0.302,0.271,0.067,0.034,0.317,0.58,0.768,0.427,0.409,0.364,0.288,0.785,0.9,0.146,43,0.365,0.421,greenje02
Brandon Clarke,26,MEM,PF,56,8,1090,0.656,0.983,0.496,0.318,0.146,0.023,0.017,0.665,0.792,0.568,0.451,0.625,0.167,0.768,1,0.158,52,1,0.167,clarkbr01
Bones Hyland,22,TOT,PG,56,1,1085,0.399,0.448,0.156,0.175,0.082,0.035,0.552,0.434,0.618,0.31,0.319,0.5,0.371,0.279,0.607,0.007,3,0.137,0.442,hylanbo01
Oshae Brissett,24,IND,PF,65,2,1083,0.386,0.514,0.326,0.147,0.016,0.019,0.486,0.457,0.558,0.277,0.4,0,0.31,0.707,0.938,0.05,14,0.258,0.225,brissos01
Thomas Bryant,25,TOT,C,59,26,1081,0.623,0.84,0.412,0.257,0.1,0.062,0.16,0.658,0.803,0.537,0.486,0.478,0.441,0.775,0.962,0.244,81,0.22,0.462,bryanth01
Obi Toppin,24,NYK,PF,67,5,1050,0.446,0.411,0.289,0.095,0.019,0.007,0.589,0.593,0.736,0.25,0.125,0.667,0.344,0.863,0.965,0.148,52,0.47,0.353,toppiob01
Joe Ingles,35,MIL,SF,46,0,1044,0.435,0.181,0.081,0.073,0.008,0.02,0.819,0.556,0.65,0.5,0.5,0.4,0.409,0.32,0.711,0,0,0.261,0.453,inglejo01
Jalen Johnson,21,ATL,SF,70,6,1042,0.491,0.677,0.391,0.189,0.04,0.047,0.323,0.587,0.722,0.41,0.462,0.333,0.288,0.625,1,0.152,42,0.442,0.283,johnsja05
Isaiah Jackson,21,IND,C,63,12,1042,0.563,0.956,0.616,0.261,0.044,0.025,0.044,0.582,0.684,0.373,0.286,0.75,0.143,0.729,1,0.296,82,0.214,0.333,jacksis01
Dyson Daniels,19,NOP,PG,59,11,1042,0.418,0.587,0.303,0.221,0.048,0.01,0.413,0.492,0.635,0.348,0.3,0,0.314,0.55,0.889,0.029,6,0.291,0.36,daniedy01
Wenyen Gabriel,25,LAL,C,68,2,1024,0.596,0.862,0.523,0.312,0.019,0.008,0.138,0.647,0.713,0.568,0.2,0.5,0.278,0.676,0.9,0.092,21,0.528,0.263,gabriwe01
Austin Rivers,30,MIN,SG,52,10,1016,0.435,0.411,0.201,0.191,0.019,0,0.589,0.558,0.786,0.35,0.25,0,0.35,0.354,0.907,0.019,3,0.659,0.42,riverau01
Hamidou Diallo,24,DET,SF,56,0,996,0.573,0.944,0.432,0.291,0.125,0.069,0.056,0.593,0.765,0.459,0.426,0.462,0.238,0.624,1,0.139,48,0.524,0.273,diallha01
Will Barton,32,TOT,SG,56,2,993,0.379,0.505,0.121,0.195,0.093,0.091,0.495,0.391,0.591,0.31,0.324,0.364,0.367,0.444,0.727,0.022,7,0.183,0.515,bartowi01
Marvin Bagley III,23,DET,C,42,25,990,0.529,0.827,0.296,0.366,0.11,0.029,0.173,0.579,0.779,0.479,0.452,0.364,0.288,0.612,0.947,0.071,27,0.288,0.316,baglema01
Cam Reddish,23,TOT,SF,40,20,990,0.446,0.538,0.266,0.189,0.054,0.016,0.462,0.56,0.675,0.508,0.412,0.2,0.313,0.723,0.8,0.038,12,0.333,0.354,reddica01
Jock Landale,27,PHX,C,69,4,979,0.528,0.751,0.377,0.297,0.053,0.024,0.249,0.621,0.74,0.53,0.333,0.5,0.25,0.771,1,0.139,42,0.036,0.333,landajo01
Nassir Little,22,POR,SF,54,4,976,0.442,0.479,0.185,0.129,0.059,0.092,0.521,0.524,0.696,0.333,0.389,0.5,0.367,0.553,0.931,0.05,12,0.139,0.364,littlna01
Usman Garuba,20,HOU,C,75,1,970,0.486,0.667,0.452,0.209,0.006,0,0.333,0.525,0.625,0.324,0,0,0.407,0.613,1,0.062,11,0.492,0.414,garubus01
JT Thor,20,CHA,PF,69,8,969,0.399,0.483,0.193,0.164,0.088,0.038,0.517,0.487,0.565,0.487,0.381,0.333,0.317,0.679,0.974,0.05,11,0.553,0.382,thorjt01
Haywood Highsmith,26,MIA,PF,54,11,969,0.431,0.495,0.241,0.148,0.069,0.037,0.505,0.523,0.692,0.406,0.267,0.375,0.339,0.625,0.973,0.06,13,0.44,0.313,highsha01
Cameron Payne,28,PHX,PG,48,15,968,0.415,0.592,0.124,0.267,0.146,0.055,0.408,0.448,0.607,0.388,0.439,0.4,0.368,0.3,0.662,0,0,0.097,0.333,payneca01
Kendrick Nunn,27,TOT,SG,70,2,964,0.424,0.504,0.127,0.18,0.127,0.071,0.496,0.493,0.667,0.395,0.474,0.469,0.354,0.366,0.696,0.022,8,0.229,0.333,nunnke01
Karl-Anthony Towns,27,MIN,PF,29,29,957,0.495,0.617,0.201,0.292,0.056,0.068,0.383,0.576,0.791,0.48,0.333,0.552,0.366,0.599,0.967,0.044,17,0.104,0.176,townska01
Zion Williamson,22,NOP,PF,29,29,956,0.608,0.959,0.618,0.307,0.026,0.009,0.041,0.618,0.721,0.438,0.5,0,0.368,0.457,0.857,0.113,42,0,0,willizi01
Kevin Knox,23,TOT,SF,63,5,952,0.458,0.44,0.235,0.102,0.066,0.036,0.56,0.596,0.692,0.5,0.5,0.417,0.349,0.644,1,0.06,18,0.344,0.313,knoxke01
Cam Thomas,21,BKN,SG,57,4,948,0.441,0.708,0.125,0.226,0.228,0.129,0.292,0.464,0.684,0.466,0.346,0.458,0.383,0.327,0.451,0.011,5,0.105,0.5,thomaca02
Mike Muscala,31,TOT,C,63,9,945,0.449,0.291,0.092,0.072,0.082,0.041,0.709,0.588,0.63,0.667,0.5,0.5,0.391,0.86,0.975,0.021,5,0.232,0.417,muscami01
Maxi Kleber,31,DAL,PF,37,5,930,0.456,0.337,0.237,0.047,0.036,0.018,0.663,0.667,0.725,0.5,0.667,0.333,0.348,0.868,0.974,0.077,11,0.277,0.29,klebima01
Yuta Watanabe,28,BKN,SF,58,1,928,0.491,0.418,0.224,0.138,0.017,0.039,0.582,0.557,0.769,0.281,0.25,0.444,0.444,0.722,1,0.06,13,0.533,0.514,watanyu01
Ish Wainright,28,PHX,SF,60,2,915,0.37,0.238,0.15,0.075,0.009,0.004,0.762,0.5,0.529,0.471,0.5,0,0.329,0.519,0.982,0.026,3,0.514,0.337,wainris01
Daishen Nix,20,HOU,PG,57,7,914,0.342,0.409,0.19,0.194,0.004,0.021,0.591,0.423,0.489,0.37,1,0.2,0.286,0.439,0.825,0.013,2,0.15,0.238,nixda01
Jaylin Williams,20,OKC,C,49,36,914,0.436,0.517,0.192,0.15,0.107,0.068,0.483,0.463,0.667,0.2,0.32,0.688,0.407,0.839,0.957,0.047,8,0.159,0.556,willija07
Chris Duarte,25,IND,SF,46,12,897,0.369,0.477,0.183,0.099,0.096,0.09,0.523,0.428,0.541,0.485,0.25,0.3,0.316,0.456,0.782,0.015,4,0.328,0.333,duartch01
Derrick Jones Jr.,25,CHI,PF,64,0,893,0.5,0.652,0.548,0.096,0.009,0,0.348,0.587,0.627,0.364,0.5,0,0.338,0.739,1,0.178,35,0.6,0.375,jonesde02
Dean Wade,26,CLE,PF,44,13,891,0.412,0.282,0.164,0.062,0.045,0.011,0.718,0.56,0.759,0.364,0.25,0,0.354,0.821,1,0.04,6,0.409,0.404,wadede01
Vlatko Čančar,25,DEN,PF,60,9,889,0.476,0.493,0.233,0.22,0.035,0.004,0.507,0.58,0.717,0.48,0.25,1,0.374,0.662,0.977,0.026,4,0.33,0.421,cancavl01
Nickeil Alexander-Walker,24,TOT,SG,59,3,884,0.444,0.461,0.139,0.207,0.044,0.071,0.539,0.515,0.634,0.443,0.385,0.571,0.384,0.329,0.803,0.01,2,0.277,0.386,alexani01
Bismack Biyombo,30,PHX,C,61,14,874,0.578,1,0.417,0.49,0.092,0,0,0.578,0.814,0.406,0.421,0,0,0.824,0,0.214,42,0,0,biyombi01
Goran Dragić,36,TOT,PG,58,0,870,0.421,0.567,0.185,0.128,0.179,0.075,0.433,0.468,0.613,0.372,0.35,0.56,0.359,0.393,0.904,0,0,0.186,0.481,dragigo01
James Wiseman,21,TOT,C,45,22,867,0.558,0.941,0.366,0.407,0.086,0.056,0.059,0.58,0.742,0.536,0.31,0.263,0.2,0.697,1,0.239,72,0.05,0,wisemja01
Théo Maledon,21,CHA,PG,44,7,854,0.402,0.626,0.217,0.256,0.134,0.02,0.374,0.465,0.582,0.354,0.471,0.6,0.295,0.324,0.821,0,0,0.074,0,maledth01
Andre Drummond,29,CHI,C,67,0,849,0.606,0.989,0.763,0.215,0.011,0,0.011,0.613,0.66,0.475,0,0,0,0.614,0,0.277,66,0.333,0,drumman01
Aaron Holiday,26,ATL,PG,63,6,845,0.418,0.6,0.223,0.168,0.132,0.077,0.4,0.424,0.612,0.216,0.31,0.529,0.409,0.214,0.861,0,0,0.17,0.2,holidaa01
Romeo Langford,23,SAS,SG,43,21,844,0.467,0.764,0.29,0.351,0.093,0.031,0.236,0.53,0.68,0.429,0.458,0.5,0.262,0.543,1,0.054,13,0.541,0.333,langfro01
Terence Davis,25,SAC,SG,64,5,841,0.423,0.332,0.148,0.118,0.033,0.03,0.668,0.537,0.685,0.442,0.333,0.455,0.366,0.508,0.91,0.038,12,0.243,0.39,daviste02
George Hill,36,TOT,SG,46,1,834,0.47,0.428,0.205,0.102,0.054,0.066,0.572,0.62,0.706,0.412,0.667,0.636,0.358,0.477,0.853,0.018,3,0.337,0.438,hillge01
Mark Williams,21,CHA,C,43,17,828,0.637,1,0.673,0.267,0.048,0.012,0,0.637,0.751,0.388,0.417,0.667,0,0.681,0,0.303,71,0,0,willima07
Robert Williams,25,BOS,C,35,20,824,0.747,0.994,0.682,0.276,0.024,0.012,0.006,0.751,0.879,0.489,0.5,0,0,0.685,0,0.341,56,1,0,williro04
Wesley Matthews,36,MIL,SF,52,0,820,0.363,0.225,0.106,0.056,0.05,0.013,0.775,0.528,0.706,0.333,0.5,0,0.315,0.842,0.974,0,0,0.339,0.238,matthwe02
Moses Moody,20,GSW,SG,63,3,817,0.476,0.405,0.225,0.132,0.031,0.018,0.595,0.641,0.725,0.5,0.429,1,0.363,0.695,0.98,0.101,19,0.348,0.34,moodymo01
Rudy Gay,36,UTA,PF,56,0,816,0.38,0.547,0.105,0.174,0.157,0.111,0.453,0.484,0.667,0.44,0.422,0.469,0.254,0.526,1,0.045,11,0.338,0.318,gayru01
Ty Jerome,25,GSW,SG,45,2,816,0.488,0.628,0.095,0.306,0.182,0.045,0.372,0.546,0.739,0.527,0.523,0.364,0.389,0.41,0.857,0,0,0.233,0.524,jeromty01
